F.G.Perey et al, Rept: Oak Ridge National Lab. Reports, No.4823 (1972)
NatO(n,tot)
MeV          Barns       Error (Barns)   
0.21158      3.703       0.689       
0.2117       2.633       0.576       
0.21181      3.571       0.76        
0.21192      2.378       0.661       
0.21204      3.7         0.754       
0.21215      2.855       0.595       
0.21227      2.628       0.743       
0.21238      2.209       0.601       
0.2125       1.897       0.657       
0.21261      2.979       0.626       
0.21272      3.65        0.69        
0.21284      4.216       0.95        
0.21295      3.761       0.752       
0.21307      3.273       0.773       
0.21318      3.65        0.69        
0.2133       2.66        0.549       
0.21341      3.463       0.647       
0.21353      3.3         0.653       
0.21365      2.732       0.522       
0.21376      2.609       0.506       
0.21388      2.589       0.488       
0.21399      3.405       0.607       
0.21411      3.429       0.766       
0.21422      2.487       0.558       
0.21434      3.916       0.834       
0.21446      6.053       1.573       
0.21457      2.632       0.645       
0.21469      2.287       0.596       
0.2148       3.121       0.661       
0.21492      3.053       0.665       
0.21504      2.525       0.613       
0.21515      1.94        0.62        
0.21527      3.597       0.692       
0.21539      3.302       0.653       
0.2155       2.104       0.641       
0.21562      3.223       0.709       
0.21574      3.243       0.548       
0.21585      3.54        0.694       
0.21597      4.035       0.742       
0.21609      2.083       0.557       
0.21621      2.287       0.569       
0.21632      3.65        0.69        
0.21644      1.661       0.588       
0.21656      2.225       0.549       
0.21668      2.848       0.633       
0.2168       3.097       0.62        
0.21691      3.258       0.614       
0.21703      2.985       0.668       
0.21715      4.026       0.677       
0.21727      2.528       0.475       
0.21739      3.155       0.504       
0.2175       3.298       0.653       
0.21762      3.483       0.569       
0.21774      3.179       0.659       
0.21786      3.033       0.623       
0.21798      1.535       0.442       
0.2181       3.09        0.529       
0.21822      2.564       0.432       
0.21834      2.657       0.549       
0.21846      4.017       0.588       
0.21858      3.985       0.588       
0.2187       2.58        0.529       
0.21881      2.595       0.457       
0.21893      3.702       0.597       
0.21905      3.116       0.506       
0.21917      3.157       0.466       
0.21929      2.916       0.493       
0.21941      3.747       0.636       
0.21953      3.358       0.609       
0.21965      3.117       0.506       
0.21977      2.66        0.549       
0.2199       2.917       0.493       
0.22002      2.054       0.423       
0.22014      3.473       0.54        
0.22026      2.817       0.541       
0.22038      2.72        0.483       
0.2205       3.359       0.544       
0.22062      2.852       0.447       
0.22074      3.361       0.52        
0.22086      2.688       0.441       
0.22098      3.506       0.539       
0.22111      3.          0.51        
0.22123      2.174       0.51        
0.22135      3.215       0.525       
0.22147      5.175       0.922       
0.22159      3.049       0.531       
0.22171      2.748       0.451       
0.22184      3.633       0.564       
0.22196      2.541       0.412       
0.22208      4.251       0.621       
0.2222       3.194       0.423       
0.22233      4.041       0.553       
0.22245      3.026       0.416       
0.22257      2.991       0.396       
0.22269      3.361       0.395       
0.22282      3.583       0.424       
0.22294      2.974       0.43        
0.22306      3.296       0.408       
0.22319      3.315       0.419       
0.22331      3.387       0.444       
0.22343      3.704       0.533       
0.22356      3.706       0.509       
0.22368      4.146       0.674       
0.2238       3.402       0.572       
0.22393      3.363       0.497       
0.22405      3.322       0.545       
0.22417      3.05        0.531       
0.2243       3.108       0.553       
0.22442      3.435       0.541       
0.22455      3.302       0.479       
0.22467      2.885       0.446       
0.2248       2.885       0.446       
0.22492      3.27        0.48        
0.22505      3.362       0.52        
0.22517      3.189       0.465       
0.2253       2.872       0.516       
0.22542      3.114       0.452       
0.22555      3.577       0.537       
0.22567      3.869       0.557       
0.2258       2.955       0.491       
0.22592      3.463       0.441       
0.22605      3.314       0.432       
0.22617      3.334       0.461       
0.2263       3.598       0.491       
0.22642      3.437       0.442       
0.22655      2.942       0.371       
0.22668      3.243       0.421       
0.2268       3.251       0.409       
0.22693      3.428       0.417       
0.22706      2.776       0.413       
0.22718      3.016       0.455       
0.22731      2.115       0.402       
0.22743      2.614       0.471       
0.22756      3.092       0.426       
0.22769      2.989       0.472       
0.22782      3.989       0.502       
0.22794      3.067       0.487       
0.22807      2.95        0.431       
0.2282       2.58        0.445       
0.22832      2.989       0.472       
0.22845      2.492       0.436       
0.22858      2.757       0.437       
0.22871      2.493       0.436       
0.22884      2.986       0.456       
0.22896      3.329       0.499       
0.22909      2.574       0.41        
0.22922      2.948       0.419       
0.22935      3.247       0.464       
0.22948      3.986       0.554       
0.22961      3.432       0.428       
0.22973      2.65        0.396       
0.22986      2.482       0.387       
0.22999      3.461       0.441       
0.23012      2.01        0.397       
0.23025      3.172       0.483       
0.23038      4.015       0.553       
0.23051      3.364       0.43        
0.23064      2.681       0.396       
0.23077      2.565       0.432       
0.2309       2.89        0.42        
0.23103      3.269       0.48        
0.23116      3.448       0.475       
0.23129      3.622       0.438       
0.23142      3.345       0.376       
0.23155      3.345       0.376       
0.23168      3.4         0.384       
0.23181      3.176       0.355       
0.23194      3.016       0.346       
0.23207      2.294       0.294       
0.2322       2.789       0.359       
0.23233      3.094       0.351       
0.23246      2.993       0.339       
0.23259      3.303       0.387       
0.23272      3.115       0.373       
