Literature data from R.W.Finlay et al (1993) (>5.29 MeV) and Perey et al (1972) (<5.29 MeV)
NatO(n,tot) 
MeV          Barns       Error (Barns)
1.32284      5.793       0.067       
1.32462      5.528       0.061       
1.3264       5.372       0.058       
1.32819      5.071       0.052       
1.32999      4.946       0.051       
1.33178      4.787       0.049       
1.33358      4.522       0.045       
1.33538      4.373       0.042       
1.33719      4.197       0.04        
1.339        4.069       0.039       
1.34082      4.008       0.039       
1.34263      3.864       0.037       
1.34446      3.685       0.035       
1.34628      3.611       0.035       
1.34811      3.5         0.033       
1.34994      3.466       0.033       
1.35178      3.326       0.032       
1.35362      3.3         0.032       
1.35546      3.228       0.03        
1.35731      3.161       0.03        
1.35916      3.055       0.029       
1.36102      3.059       0.029       
1.36288      2.997       0.029       
1.36474      2.925       0.027       
1.36661      2.934       0.027       
1.36848      2.845       0.027       
1.37035      2.856       0.027       
1.37223      2.792       0.025       
1.37411      2.784       0.025       
1.376        2.721       0.025       
1.37789      2.726       0.026       
1.37978      2.692       0.026       
1.38168      2.604       0.026       
1.38358      2.608       0.024       
1.38549      2.589       0.024       
1.3874       2.589       0.024       
1.38931      2.565       0.024       
1.39123      2.52        0.024       
1.39315      2.496       0.024       
1.39508      2.484       0.024       
1.39701      2.476       0.024       
1.39894      2.515       0.024       
1.40088      2.443       0.025       
1.40282      2.438       0.026       
1.40476      2.437       0.028       
1.40671      2.457       0.032       
1.40867      2.411       0.034       
1.41062      2.354       0.032       
1.41259      2.374       0.03        
1.41455      2.317       0.028       
1.41652      2.407       0.026       
1.4185       2.345       0.026       
1.42047      2.33        0.025       
1.42246      2.285       0.025       
1.42444      2.281       0.025       
1.42643      2.268       0.025       
1.42843      2.263       0.025       
1.43043      2.252       0.025       
1.43243      2.262       0.025       
1.43444      2.25        0.025       
1.43645      2.196       0.023       
1.43847      2.172       0.023       
1.44049      2.23        0.023       
1.44251      2.241       0.023       
1.44454      2.179       0.023       
1.44657      2.182       0.023       
1.44861      2.177       0.023       
1.45065      2.184       0.023       
1.4527       2.143       0.023       
1.45475      2.214       0.023       
1.45681      2.2         0.023       
1.45886      2.164       0.023       
1.46093      2.19        0.023       
1.463        2.146       0.023       
1.46507      2.108       0.023       
1.46714      2.161       0.023       
1.46923      2.15        0.023       
1.47131      2.136       0.023       
1.4734       2.187       0.025       
1.4755       2.158       0.027       
1.47759      2.12        0.029       
1.4797       2.111       0.028       
1.48181      2.133       0.025       
1.48392      2.137       0.023       
1.48604      2.076       0.023       
1.48816      2.071       0.021       
1.49028      2.078       0.021       
1.49241      2.094       0.021       
1.49455      2.094       0.021       
1.49669      2.074       0.021       
1.49883      2.039       0.021       
1.50098      2.08        0.021       
1.50313      2.039       0.021       
1.50529      1.986       0.021       
1.50746      2.059       0.021       
1.50962      2.076       0.021       
1.5118       2.057       0.021       
1.51397      2.044       0.021       
1.51615      2.034       0.021       
1.51834      2.04        0.021       
1.52053      2.016       0.023       
1.52273      2.046       0.023       
1.52493      1.978       0.026       
1.52713      2.038       0.027       
1.52934      1.985       0.026       
1.53156      2.014       0.023       
1.53378      1.994       0.023       
1.536        2.032       0.022       
1.53823      2.004       0.022       
1.54047      1.993       0.021       
1.54271      1.991       0.021       
1.54495      1.977       0.021       
1.5472       1.976       0.021       
1.54945      1.97        0.021       
