R.W.Finlay et al, Jour: Physical Review, Part C, Nuclear Physics, Vol.47, p.237 (1993)
Natural O n,tot (R.W. Finlay et al (1993))
MeV         Barns       Error (Barns)      
33.66       1.51675     0.0003463   
33.9983     1.49505     0.0003461   
34.34       1.4845      0.0003487   
34.6852     1.47176     0.0003465   
35.0337     1.48613     0.0003499   
35.3858     1.4805      0.000349    
35.7415     1.44662     0.00035     
36.1007     1.45224     0.0003494   
36.4635     1.44592     0.0003496   
36.83       1.44229     0.000349    
37.2001     1.44664     0.0003536   
37.574      1.43505     0.0003541   
37.9516     1.42157     0.0003598   
38.3331     1.4051      0.0003556   
38.7183     1.40202     0.0003577   
39.1074     1.41225     0.0003576   
39.5005     1.41757     0.0003658   
39.8975     1.38836     0.0003659   
40.2984     1.36922     0.0003631   
40.7035     1.3695      0.0003658   
41.1125     1.36906     0.0003689   
41.5257     1.37395     0.0003672   
41.9431     1.35336     0.0003695   
42.3646     1.34484     0.0003698   
42.7904     1.34252     0.0003751   
43.2204     1.32526     0.0003812   
43.6548     1.33667     0.0003783   
44.0936     1.31709     0.0003854   
44.5367     1.30696     0.0003874   
44.9843     1.29202     0.0003904   
45.4364     1.2868      0.0003897   
45.8931     1.28295     0.0003943   
46.3543     1.27458     0.0003968   
46.8202     1.26844     0.0003973   
47.2907     1.26711     0.0004102   
47.766      1.26223     0.0004105   
48.2461     1.23512     0.0004146   
48.731      1.23896     0.0004172   
49.2207     1.23566     0.0004144   
49.7154     1.22557     0.0004269   
50.2151     1.21153     0.0004313   
50.7197     1.18819     0.0004319   
51.2295     1.19395     0.0004399   
51.7443     1.18187     0.0004444   
52.2644     1.16712     0.000448    
52.7896     1.17635     0.0004539   
53.3202     1.14121     0.0004596   
53.8561     1.15173     0.0004671   
54.3973     1.14305     0.0004753   
54.944      1.13263     0.0004766   
55.4963     1.1259      0.0004899   
56.054      1.11105     0.0004922   
56.6174     1.11074     0.0004953   
57.1864     1.08726     0.0005032   
57.7611     1.08284     0.0005078   
58.3416     1.08674     0.0005208   
58.928      1.06669     0.0005278   
59.5202     1.07172     0.0005336   
60.1184     1.05861     0.0005467   
60.7226     1.04005     0.0005458   
61.3329     1.02687     0.0005589   
61.9493     1.01042     0.0005633   
62.5719     1.01467     0.0005748   
63.2008     1.00444     0.0005875   
63.8359     0.997113    0.0005907   
64.4775     0.988773    0.0006044   
65.1255     0.988382    0.0006117   
65.7801     0.964138    0.0006197   
66.4412     0.962054    0.0006357   
67.1089     0.951127    0.0006385   
67.7834     0.941935    0.0006559   
68.4646     0.937176    0.0006735   
69.1527     0.921572    0.0006696   
69.8477     0.92038     0.0006879   
70.5497     0.90738     0.0007084   
71.2587     0.907197    0.000706    
71.9749     0.893144    0.0007264   
