Literature data from W.P.Abfalterer (2001)
Natural Pb (n,tot)
MeV         Barns       Error(Barns)
2.8291      7.4258      0.36438
2.8373      7.3843      0.35446
2.8456      7.6985      0.37   
2.8539      7.6258      0.37552
2.8623      7.2622      0.37389
2.8707      8.0052      0.39552
2.8791      7.5346      0.39508
2.8876      7.8618      0.41214
2.8961      8.2226      0.43377
2.9046      8.2996      0.44819
2.9132      7.9182      0.46487
2.9218      7.5128      0.46661
2.9304      8.1033      0.52804
2.9391      8.4863      0.54459
2.9479      8.6485      0.52992
2.9566      8.0314      0.48869
2.9654      8.8728      0.43081
2.9743      8.3548      0.34568
2.9832      8.4719      0.29329
2.9921      8.0152      0.2502 
3.0011      8.2993      0.23995
3.0101      8.2921      0.23179
3.0191      7.8468      0.22464
3.0282      7.7979      0.22218
3.0374      8.093       0.22678
3.0465      8.2494      0.23192
3.0558      7.5825      0.2275 
3.065       7.7012      0.23286
3.0743      7.9026      0.24408
3.0837      8.1257      0.244  
3.093       7.674       0.2451 
3.1025      7.7538      0.2509 
3.1119      7.7319      0.25262
3.1215      8.3186      0.26248
3.131       8.4291      0.27225
3.1406      8.1294      0.26632
3.1503      8.373       0.27426
3.16        7.7384      0.27308
3.1697      7.6254      0.26696
3.1795      7.6101      0.2706 
3.1893      7.8046      0.2784 
3.1992      7.813       0.28112
3.2091      8.154       0.29224
3.2191      8.0848      0.29738
3.2291      8.7252      0.30409
3.2391      8.2958      0.30518
3.2492      8.4401      0.31179
3.2594      8.5447      0.32411
3.2696      8.2622      0.31636
3.2798      8.6823      0.32625
3.2901      8.3357      0.32561
3.3005      8.2947      0.32322
3.3109      8.7887      0.3385 
3.3213      8.2282      0.3292 
3.3318      8.168       0.32744
3.3424      8.1233      0.32548
3.3529      8.2628      0.34089
3.3636      8.8347      0.34875
3.3743      8.0871      0.34452
3.385       8.2833      0.35063
3.3958      7.7886      0.33519
3.4067      7.0396      0.32367
3.4176      7.9167      0.34346
3.4285      7.5101      0.31962
3.4395      7.9093      0.32195
3.4506      7.7107      0.3157 
3.4617      7.4899      0.32177
3.4729      7.7069      0.31564
3.4841      7.7962      0.32017
3.4954      7.8785      0.32387
3.5067      7.431       0.31971
3.5181      8.0679      0.32689
3.5295      7.7927      0.31668
3.541       7.621       0.31776
3.5526      8.1052      0.3172 
3.5642      7.469       0.30726
3.5759      7.611       0.31035
3.5876      7.0704      0.2972 
3.5994      8.0685      0.30683
3.6112      7.3835      0.29056
3.6231      7.8155      0.29438
3.6351      7.3676      0.28696
3.6471      7.7293      0.29168
3.6592      8.045       0.29478
3.6713      7.6754      0.2807 
3.6835      7.9295      0.28119
3.6958      8.0759      0.27775
3.7081      7.8189      0.27432
3.7205      7.5848      0.26745
3.7329      7.5915      0.26521
3.7454      7.8812      0.26751
3.758       7.7672      0.26231
3.7707      8.2955      0.26089
3.7834      7.9733      0.25982
3.7961      8.1717      0.25476
3.8089      7.7308      0.24336
3.8218      7.9387      0.24251
3.8348      8.1232      0.24082
3.8478      7.8722      0.23446
3.8609      8.011       0.23279
3.8741      8.2312      0.23039
3.8873      7.613       0.22014
3.9006      7.8219      0.21884
3.914       8.0423      0.21983
3.9274      7.864       0.21551
3.9409      8.0036      0.21526
3.9545      7.8815      0.20826
3.9681      7.6808      0.20686
3.9818      7.6643      0.20335
3.9956      8.021       0.20449
4.0095      8.0822      0.19988
4.0234      7.9844      0.19443
4.0374      8.0413      0.19431
4.0515      7.788       0.18754
4.0656      7.6286      0.18436
4.0799      7.817       0.18515
4.0942      7.9394      0.18481
4.1085      8.0466      0.18368
4.123       7.7381      0.18074
4.1375      7.8926      0.18258
4.1521      7.8958      0.18082
4.1668      7.958       0.18333
4.1815      7.498       0.18416
4.1964      7.5495      0.18574
4.2113      7.5649      0.19166
4.2263      7.5145      0.19644
4.2414      7.4368      0.19941
4.2565      7.3437      0.20069
4.2718      7.7565      0.20659
4.2871      7.7176      0.20412
4.3025      7.5183      0.20005
4.318       7.9316      0.19998
4.3336      8.1244      0.19743
4.3492      7.9166      0.19158
4.365       7.8033      0.18668
4.3808      7.9515      0.18247
4.3967      7.6568      0.17667
4.4127      7.5982      0.17131
4.4288      7.468       0.16727
4.445       7.6274      0.16648
4.4612      7.6739      0.16117
4.4776      7.8202      0.16108
4.4941      7.4091      0.15468
4.5106      7.3922      0.15258
4.5272      7.3333      0.14957
4.5439      7.5539      0.1496 
4.5608      7.5708      0.14705
4.5777      7.6385      0.14656
4.5947      7.754       0.14509
4.6118      7.7848      0.14277
4.629       7.7603      0.14118
4.6462      7.5525      0.13928
4.6636      7.5414      0.13713
4.6811      7.4855      0.13452
4.6987      7.7478      0.13473
4.7164      7.5809      0.13274
4.7342      7.6491      0.13157
4.7521      7.6174      0.12989
4.7701      7.8336      0.12975
4.7881      7.7402      0.1283 
4.8063      7.881       0.12785
4.8246      7.7137      0.12589
4.843       7.7339      0.12564
4.8615      7.543       0.12306
4.8802      7.6175      0.1222 
4.8989      7.7542      0.12297
4.9177      7.3995      0.12202
4.9367      7.6971      0.12384
4.9557      7.5731      0.12093
4.9749      7.3133      0.11685
4.9941      7.1812      0.11498
5.0135      7.6798      0.11632
5.033       7.3508      0.11434
5.0526      7.3619      0.11268
5.0724      7.4869      0.11268
5.0922      7.4722      0.11156
5.1122      7.3836      0.11109
5.1322      7.2945      0.10988
5.1524      7.4414      0.10878
5.1728      7.443       0.10856
5.1932      7.3636      0.10816
5.2137      7.1362      0.10524
5.293       7.263       0.03666     
5.346       7.223       0.03784     
5.399       7.215       0.03937     
5.454       7.156       0.0362      
5.509       7.096       0.03536     
5.564       7.036       0.03495     
5.62        6.915       0.03446     
5.676       6.858       0.03374     
5.733       6.845       0.03325     
5.791       6.822       0.03287     
5.849       6.777       0.03252     
5.908       6.686       0.03228     
5.967       6.661       0.03209     
6.027       6.536       0.03152     
6.088       6.47        0.03124     
6.149       6.411       0.03137     
6.211       6.41        0.03271     
6.273       6.404       0.03594     
6.336       6.357       0.03584     
6.4         6.233       0.03077     
6.464       6.221       0.0292      
6.529       6.197       0.02839     
6.595       6.134       0.0272      
6.661       6.075       0.02688     
6.728       6.032       0.02675     
6.796       5.972       0.02654     
6.864       5.918       0.02608     
6.933       5.9         0.02576     
7.003       5.854       0.02554     
7.073       5.817       0.02559     
7.144       5.789       0.02582     
7.216       5.772       0.02686     
7.289       5.761       0.02911     
7.362       5.736       0.03215     
7.436       5.697       0.03281     
7.51        5.634       0.03228     
7.586       5.623       0.03182     
7.662       5.59        0.03254     
7.739       5.585       0.035       
7.817       5.52        0.03506     
7.896       5.481       0.03369     
7.975       5.458       0.03262     
8.055       5.477       0.03231     
8.136       5.465       0.03152     
8.218       5.38        0.0293      
8.3         5.334       0.02769     
8.384       5.334       0.02698     
8.468       5.352       0.02673     
8.553       5.331       0.02655     
8.639       5.316       0.02645     
8.726       5.301       0.0265      
8.814       5.301       0.0266      
8.902       5.261       0.02663     
8.992       5.244       0.02691     
9.082       5.222       0.02749     
9.173       5.263       0.02821     
9.266       5.246       0.02834     
9.359       5.228       0.02829     
9.453       5.195       0.02805     
9.548       5.183       0.02786     
9.644       5.181       0.0279      
9.741       5.173       0.02806     
9.838       5.133       0.02795     
9.937       5.116       0.02776     
10.04       5.122       0.02777     
10.14       5.154       0.02791     
10.24       5.145       0.02792     
10.34       5.147       0.02804     
10.45       5.156       0.02829     
10.55       5.133       0.02863     
10.66       5.137       0.02922     
10.77       5.148       0.02984     
10.87       5.113       0.03019     
10.98       5.107       0.03044     
11.09       5.123       0.03078     
11.2        5.131       0.03094     
11.32       5.125       0.03089     
11.43       5.112       0.03079     
11.55       5.144       0.03082     
11.66       5.175       0.03096     
11.78       5.166       0.0311      
11.9        5.138       0.03154     
12.02       5.139       0.0322      
12.14       5.14        0.03253     
12.26       5.122       0.03215     
12.38       5.152       0.03189     
12.51       5.181       0.03194     
12.63       5.237       0.03234     
12.76       5.239       0.03282     
12.89       5.239       0.03323     
13.02       5.229       0.03333     
13.15       5.237       0.0334      
13.28       5.257       0.03356     
13.41       5.28        0.03378     
13.55       5.26        0.03389     
13.69       5.321       0.03391     
13.82       5.37        0.03393     
13.96       5.39        0.03381     
14.1        5.404       0.03413     
14.24       5.404       0.03426     
14.39       5.449       0.03447     
14.53       5.483       0.03494     
14.68       5.458       0.03544     
14.82       5.465       0.03566     
14.97       5.505       0.03608     
15.12       5.55        0.03642     
15.28       5.578       0.03658     
15.43       5.6         0.03708     
15.58       5.577       0.03734     
15.74       5.582       0.03772     
15.9        5.593       0.03794     
16.06       5.653       0.03801     
16.22       5.65        0.03777     
16.38       5.725       0.03787     
16.55       5.77        0.03779     
16.72       5.754       0.03755     
16.88       5.775       0.03757     
17.05       5.757       0.03753     
17.22       5.759       0.03741     
17.4        5.828       0.0377      
17.57       5.789       0.03754     
17.75       5.801       0.03747     
17.93       5.908       0.03772     
18.11       5.843       0.03759     
18.29       5.854       0.03766     
18.47       5.848       0.03742     
18.66       5.879       0.03743     
18.85       5.853       0.03743     
19.04       5.89        0.03766     
19.23       5.862       0.03746     
19.42       5.859       0.03731     
19.62       5.87        0.03703     
19.81       5.91        0.03683     
20.01       5.903       0.03648     
20.21       5.886       0.03612     
20.42       5.828       0.03561     
20.62       5.856       0.03527     
20.83       5.871       0.03503     
21.04       5.871       0.03493     
21.25       5.862       0.03459     
21.46       5.817       0.03425     
21.68       5.863       0.03413     
21.9        5.826       0.03399     
22.12       5.814       0.03379     
22.34       5.834       0.03369     
22.56       5.827       0.03347     
22.79       5.786       0.03331     
23.02       5.749       0.0331      
23.25       5.744       0.03306     
23.48       5.715       0.03291     
23.72       5.702       0.03276     
23.96       5.711       0.0326      
24.2        5.655       0.03235     
24.44       5.656       0.03237     
24.69       5.646       0.03227     
24.94       5.637       0.0322      
25.19       5.616       0.03205     
25.44       5.618       0.03202     
25.7        5.605       0.03174     
25.95       5.532       0.03128     
26.21       5.501       0.03111     
26.48       5.473       0.03089     
26.74       5.427       0.03081     
27.01       5.457       0.03074     
27.28       5.432       0.03053     
27.56       5.416       0.03039     
27.84       5.39        0.03034     
28.12       5.336       0.03009     
28.4        5.304       0.02985     
28.68       5.324       0.02974     
28.97       5.287       0.02954     
29.26       5.259       0.02929     
29.56       5.211       0.02904     
29.85       5.165       0.02892     
30.15       5.1         0.0287      
30.46       5.102       0.02853     
30.76       5.119       0.02841     
31.07       5.067       0.02816     
31.38       5.031       0.02799     
31.7        5.013       0.02787     
32.02       4.948       0.02755     
32.34       4.889       0.02727     
32.67       4.885       0.02713     
32.99       4.898       0.02701     
33.33       4.853       0.02686     
33.66       4.778       0.02653     
34.         4.757       0.02646     
34.34       4.753       0.02633     
34.69       4.718       0.02613     
35.03       4.697       0.02598     
35.39       4.665       0.02582     
35.74       4.637       0.02564     
36.1        4.631       0.02545     
36.46       4.606       0.02533     
36.83       4.577       0.02519     
37.2        4.55        0.02513     
37.57       4.534       0.02496     
37.95       4.547       0.02485     
38.33       4.495       0.02471     
38.72       4.458       0.02461     
39.11       4.474       0.02452     
39.5        4.453       0.02437     
39.9        4.427       0.02427     
40.3        4.436       0.02426     
40.7        4.406       0.02411     
41.11       4.422       0.02403     
41.53       4.38        0.02386     
41.94       4.365       0.02371     
42.36       4.341       0.02366     
42.79       4.372       0.02367     
43.22       4.359       0.02363     
43.65       4.308       0.02341     
44.09       4.326       0.02331     
44.54       4.314       0.02333     
44.98       4.306       0.02328     
45.44       4.306       0.02316     
45.89       4.318       0.02308     
46.35       4.3         0.02302     
46.82       4.301       0.02299     
47.29       4.303       0.02297     
47.77       4.319       0.02297     
48.25       4.323       0.02289     
48.73       4.315       0.02284     
49.22       4.294       0.0228      
49.72       4.348       0.02277     
50.22       4.388       0.02283     
50.72       4.364       0.02275     
51.23       4.354       0.02271     
51.74       4.334       0.02262     
52.26       4.361       0.02266     
52.79       4.366       0.02267     
53.32       4.376       0.02261     
53.86       4.398       0.02264     
54.4        4.413       0.02262     
54.94       4.44        0.02262     
55.5        4.453       0.02263     
56.05       4.459       0.02264     
56.62       4.491       0.02267     
57.19       4.468       0.0226      
57.76       4.479       0.02261     
58.34       4.503       0.02266     
58.93       4.541       0.0226      
59.52       4.547       0.02265     
60.12       4.555       0.02268     
60.72       4.567       0.02268     
61.33       4.553       0.02264     
61.95       4.596       0.02272     
62.57       4.629       0.02275     
63.2        4.633       0.02276     
63.84       4.661       0.02279     
64.48       4.678       0.02281     
65.13       4.688       0.02278     
65.78       4.695       0.02284     
66.44       4.699       0.02282     
67.11       4.694       0.02284     
67.78       4.72        0.02289     
68.46       4.725       0.02285     
69.15       4.732       0.02285     
69.85       4.75        0.02294     
70.55       4.776       0.02295     
71.26       4.782       0.02294     
71.97       4.793       0.02299     
72.7        4.811       0.02298     
73.43       4.804       0.02297     
74.17       4.838       0.02303     
74.91       4.829       0.02299     
75.67       4.82        0.02294     
76.43       4.804       0.02289     
77.19       4.821       0.02299     
77.97       4.84        0.02298     
78.75       4.851       0.02297     
79.54       4.83        0.02297     
80.34       4.841       0.02293     
81.15       4.849       0.02294     
81.97       4.828       0.02287     
82.79       4.82        0.02289     
83.62       4.858       0.02291     
84.46       4.843       0.02284     
85.31       4.834       0.02285     
86.17       4.837       0.02287     
87.04       4.831       0.02281     
87.91       4.814       0.02277     
88.79       4.785       0.02265     
89.69       4.778       0.02264     
90.59       4.798       0.02267     
91.5        4.772       0.02263     
92.42       4.767       0.02257     
