Literature data from R. B. Schwartz (1973)
Natural Ni (n,tot)
MeV       Barns     Error(Barns)
1.191     2.996     0.04280
1.192     2.859     0.04154
1.193     2.879     0.04097
1.194     2.809     0.03845
1.195     2.754     0.03953
1.196     2.805     0.03913
1.197     2.722     0.03843
1.197     2.747     0.03828
1.198     2.653     0.03707
1.199     2.586     0.03596
1.200     2.463     0.03442
1.201     2.514     0.03494
1.202     2.558     0.03666
1.203     2.644     0.03758
1.204     2.710     0.03402
1.205     2.728     0.03886
1.206     2.865     0.04090
1.206     2.805     0.04065
1.207     2.807     0.04142
1.208     2.919     0.04122
1.209     2.825     0.04126
1.210     2.934     0.04352
1.211     3.018     0.04512
1.212     3.163     0.04510
1.213     3.276     0.04827
1.214     3.308     0.04908
1.215     3.234     0.04819
1.216     3.252     0.04644
1.217     3.133     0.04598
1.218     3.034     0.04333
1.219     2.963     0.04084
1.220     2.886     0.04138
1.220     3.001     0.04154
1.221     3.057     0.04438
1.222     3.476     0.05276
1.223     3.680     0.05665
1.224     3.882     0.05969
1.225     3.890     0.06107
1.226     3.796     0.05731
1.227     3.649     0.05555
1.228     3.582     0.05300
1.229     3.590     0.05283
1.230     3.433     0.04988
1.231     3.226     0.04529
1.232     3.120     0.04484
1.233     2.857     0.04061
1.234     2.720     0.03827
1.235     2.633     0.03734
1.235     2.629     0.03800
1.236     2.812     0.03966
1.237     2.961     0.04400
1.238     3.287     0.04906
1.239     3.381     0.05149
1.240     3.472     0.05113
1.241     3.380     0.05009
1.242     3.169     0.04579
1.243     3.051     0.04445
1.244     2.722     0.03971
1.245     2.673     0.03834
1.246     2.630     0.03588
1.247     2.699     0.03608
1.248     2.819     0.03802
1.249     2.881     0.03945
1.250     2.985     0.04062
1.251     2.930     0.04234
1.252     3.018     0.04198
1.253     3.062     0.04381
1.254     3.101     0.04347
1.255     3.184     0.04736
1.256     3.165     0.04594
1.257     3.124     0.04578
1.258     3.054     0.04526
1.259     3.008     0.04389
1.260     3.100     0.04486
1.261     3.135     0.04629
1.262     3.105     0.04440
1.263     3.086     0.04514
1.264     3.080     0.04398
1.265     3.065     0.04343
1.265     3.082     0.04390
1.266     3.143     0.04464
1.267     3.053     0.04294
1.268     2.956     0.04086
1.269     2.953     0.04071
1.270     2.734     0.03937
1.271     2.775     0.03884
1.272     2.783     0.03928
1.273     2.789     0.03990
1.274     2.980     0.04162
1.275     3.089     0.04410
1.276     3.321     0.04777
1.277     3.365     0.04924
1.278     3.185     0.04613
1.279     3.023     0.04290
1.280     2.968     0.04301
1.281     2.896     0.03738
1.282     3.042     0.04201
1.283     3.218     0.04523
1.284     3.371     0.05021
1.285     3.589     0.05453
1.286     3.744     0.05618
1.287     3.594     0.05422
1.288     3.656     0.05649
1.289     3.597     0.05752
1.290     3.736     0.05796
1.292     3.956     0.06261
1.293     4.248     0.07087
1.294     4.477     0.07316
1.294     4.486     0.07318
1.296     4.091     0.06421
1.297     3.977     0.06097
1.298     3.812     0.05782
1.299     3.543     0.05243
1.300     3.447     0.05066
1.301     3.243     0.04293
1.302     3.125     0.04508
1.303     3.117     0.04491
1.304     3.153     0.04696
