Literature data from D.C. Larson (1980)
MeV          Barns       Error(barns)
16.301       5.7258      0.07669
16.417       5.7507      0.07607
16.534       5.8155      0.07543
16.652       5.7227      0.07482
16.771       5.7222      0.07449
16.892       5.7315      0.07435
17.014       5.8464      0.07408
17.137       5.8728      0.07394
17.262       5.9331      0.07382
17.388       5.7396      0.07293
17.516       5.7133      0.07251
17.645       5.8858      0.07300
17.775       5.8288      0.07249
17.907       5.829       0.07234
18.04        5.7251      0.07211
18.175       5.834       0.07237
18.311       5.7514      0.07227
18.449       5.7942      0.07204
18.589       5.9767      0.07234
18.73        5.9253      0.07249
18.873       5.8247      0.07206
19.017       5.895       0.07234
19.163       5.9142      0.07261
19.311       6.0511      0.07302
19.46        5.8908      0.07300
19.612       5.891       0.07223
19.765       5.8677      0.07161
19.92        5.961       0.07126
20.076       5.8595      0.07012
20.235       5.8767      0.06949
20.395       5.9148      0.06863
20.558       5.8473      0.06756
20.722       5.8302      0.06704
20.889       5.8384      0.06627
21.057       5.8733      0.06611
21.228       5.87        0.06583
21.4         5.9163      0.06571
21.575       5.833       0.06511
21.752       5.801       0.06463
21.931       5.7711      0.06416
22.113       5.7718      0.06366
22.296       5.7736      0.06369
22.482       5.8941      0.06385
22.671       5.8059      0.06358
22.862       5.8823      0.06365
23.055       5.7796      0.06403
23.25        5.7356      0.06362
23.449       5.6196      0.06326
23.65        5.7298      0.06351
23.853       5.7434      0.06347
24.059       5.5756      0.06294
24.268       5.685       0.06326
24.48        5.6096      0.06314
24.694       5.6972      0.06330
24.911       5.7292      0.06327
25.132       5.5916      0.06308
25.355       5.5434      0.06293
25.581       5.687       0.06313
25.81        5.591       0.06313
26.043       5.6552      0.06285
26.278       5.5669      0.06265
26.517       5.5703      0.06281
26.759       5.5616      0.06269
27.005       5.533       0.06259
27.254       5.3899      0.06262
27.507       5.512       0.06292
27.763       5.4944      0.06320
28.023       5.4119      0.06286
28.286       5.4555      0.06304
28.553       5.2359      0.06260
28.825       5.2844      0.06328
29.1         5.2069      0.06307
29.379       5.1665      0.06290
29.662       5.1731      0.06281
29.949       5.1292      0.06300
30.241       5.1987      0.06340
30.537       5.1898      0.06339
30.838       5.2365      0.06383
31.143       5.1445      0.06385
31.452       4.9834      0.06385
31.766       4.9689      0.06386
32.085       5.015       0.06399
32.409       5.0172      0.06428
32.738       4.8621      0.06423
33.073       4.8831      0.06444
33.412       4.8668      0.06469
33.757       4.8303      0.06500
34.107       4.7635      0.06514
34.463       4.8537      0.06541
34.824       4.7375      0.06543
35.192       4.6468      0.06565
35.565       4.7727      0.06639
35.945       4.6326      0.06640
36.33        4.6768      0.06687
36.722       4.5579      0.06687
37.12        4.5576      0.06699
37.525       4.6436      0.06796
37.937       4.4837      0.06802
38.356       4.59        0.06851
38.782       4.5696      0.06885
39.215       4.5183      0.06946
39.656       4.4739      0.06995
40.104       4.39        0.07028
40.56        4.437       0.07105
41.025       4.4103      0.07138
41.497       4.3792      0.07189
41.977       4.3447      0.07236
42.467       4.3827      0.07291
42.965       4.3808      0.07373
43.472       4.354       0.07470
43.988       4.3314      0.07515
44.514       4.3562      0.076  
45.049       4.4084      0.07678
45.595       4.3782      0.07751
46.151       4.294       0.07867
46.717       4.39        0.07958
47.294       4.341       0.08029
47.882       4.4454      0.08119
48.481       4.2311      0.08213
49.092       4.3822      0.08352
49.714       4.4182      0.08503
50.349       4.3106      0.08622
50.997       4.5251      0.08748
51.657       4.3616      0.08839
52.331       4.3956      0.08969
53.018       4.4528      0.09179
53.72        4.4264      0.09229
54.435       4.4059      0.09436
55.166       4.4377      0.09676
55.912       4.7244      0.09873
56.673       4.2984      0.09947
57.451       4.4703      0.10238
58.245       4.5816      0.1042 
59.056       4.5623      0.10593
59.885       4.569       0.1089 
60.733       4.6643      0.11151
61.598       4.5846      0.1137 
62.483       4.6041      0.11695
63.388       4.6064      0.11917
