Literature data from W.P. Abfalterer (2001) [>5.293 MeV] and R.B.  Schwartz [< 5.293 MeV]
Natural Ni (n,tot)
MeV         Barns       Error(Barns)
2.909     3.355     0.06234
2.926     3.273     0.06038
2.944     3.155     0.05713
2.961     3.075     0.05650
2.979     3.757     0.06969
2.997     3.149     0.05685
3.015     3.305     0.05900
3.033     3.139     0.05579
3.051     3.203     0.05756
3.070     3.210     0.05866
3.089     3.001     0.05516
3.107     2.983     0.05572
3.127     3.143     0.05642
3.146     3.110     0.05891
3.165     3.046     0.05381
3.185     3.012     0.05715
3.205     3.464     0.06634
3.225     3.370     0.06380
3.245     3.212     0.06154
3.265     3.243     0.06218
3.286     3.214     0.06306
3.306     3.346     0.06516
3.327     3.416     0.06662
3.349     3.401     0.06801
3.370     3.456     0.06616
3.391     3.413     0.06906
3.413     3.284     0.06239
3.435     3.373     0.06344
3.457     3.504     0.06832
3.480     3.462     0.06707
3.502     3.471     0.06794
3.525     3.504     0.06801
3.548     3.559     0.07041
3.571     3.628     0.07185
3.595     3.469     0.07243
3.619     3.379     0.06683
3.643     3.429     0.06817
3.667     3.633     0.06932
3.691     3.356     0.05988
3.716     3.379     0.06377
3.741     3.354     0.06382
3.766     3.501     0.07073
3.792     3.384     0.06279
3.817     3.487     0.06329
3.843     3.459     0.06225
3.870     3.637     0.06486
3.896     3.431     0.06060
3.923     3.423     0.06486
3.950     3.480     0.06669
3.977     3.466     0.06498
4.005     3.487     0.06505
4.033     3.438     0.06587
4.061     3.511     0.06484
4.090     3.398     0.06168
4.118     3.453     0.06129
4.148     3.477     0.06324
4.177     3.411     0.06082
4.207     3.617     0.06498
4.237     3.611     0.06184
4.267     3.564     0.06654
4.298     3.403     0.06150
4.329     3.700     0.06870
4.361     3.524     0.06345
4.392     3.597     0.06335
4.424     3.593     0.06168
4.457     3.719     0.06455
4.490     3.726     0.06628
4.523     3.585     0.06636
4.556     3.670     0.06300
4.590     3.493     0.06190
4.625     3.603     0.06218
4.659     3.627     0.06480
4.694     3.655     0.06285
4.730     3.713     0.06334
4.766     3.540     0.06111
4.802     3.642     0.06308
4.839     3.619     0.06176
4.876     3.550     0.06262
4.913     3.640     0.06263
4.951     3.508     0.06134
4.990     3.736     0.06612
5.029     3.831     0.06758
5.068     3.647     0.06754
5.108     3.722     0.06785
5.148     3.764     0.06671
5.189     3.585     0.06566
5.230     3.707     0.06492
5.272     3.734     0.06128
5.280     3.825     0.06342
5.293       3.747       0.01424      
5.346       3.704       0.01451      
5.399       3.693       0.01499      
5.454       3.698       0.0139       
5.509       3.681       0.0136       
5.564       3.707       0.01376      
5.62        3.743       0.014        
5.676       3.73        0.01374      
5.733       3.736       0.01361      
5.791       3.743       0.01351      
5.849       3.741       0.01345      
5.908       3.719       0.01342      
5.967       3.74        0.0135       
6.027       3.707       0.01328      
6.088       3.707       0.0133       
6.149       3.714       0.01347      
6.211       3.737       0.0143       
6.273       3.741       0.01576      
6.336       3.72        0.01546      
6.4         3.711       0.01351      
6.464       3.678       0.01268      
6.529       3.674       0.01233      
6.595       3.7         0.01202      
6.661       3.685       0.01195      
6.728       3.657       0.01178      
6.796       3.651       0.01172      
6.864       3.64        0.01155      
6.933       3.641       0.01144      
7.003       3.649       0.01146      
7.073       3.64        0.01151      
7.144       3.598       0.01145      
7.216       3.594       0.01197      
7.289       3.606       0.0131       
7.362       3.616       0.01456      
7.436       3.596       0.01477      
7.51        3.56        0.0144       
7.586       3.579       0.01433      
7.662       3.584       0.01481      
7.739       3.559       0.0158       
7.817       3.527       0.01566      
7.896       3.537       0.01519      
7.975       3.515       0.01459      
8.055       3.526       0.01452      
8.136       3.511       0.01408      
8.218       3.494       0.01308      
8.3         3.482       0.01236      
8.384       3.47        0.01201      
8.468       3.442       0.01172      
8.553       3.436       0.01166      
8.639       3.43        0.01161      
8.726       3.428       0.01165      
8.814       3.41        0.01159      
8.902       3.397       0.0116       
8.992       3.374       0.01165      
9.082       3.378       0.01198      
9.173       3.365       0.01215      
9.266       3.363       0.01221      
9.359       3.33        0.01204      
9.453       3.314       0.01191      
9.548       3.309       0.01182      
9.644       3.295       0.01178      
9.741       3.283       0.01179      
9.838       3.296       0.01186      
9.937       3.282       0.01174      
10.04       3.251       0.01072      
10.14       3.24        0.008793     
10.24       3.211       0.008678     
10.34       3.202       0.008661     
10.45       3.196       0.00873      
10.55       3.191       0.008865     
10.66       3.175       0.008964     
10.77       3.162       0.009084     
10.87       3.152       0.009174     
10.98       3.13        0.009154     
11.09       3.108       0.00912      
11.2        3.09        0.009056     
11.32       3.078       0.008996     
11.43       3.065       0.008915     
11.55       3.052       0.008836     
11.66       3.034       0.008782     
11.78       3.022       0.008803     
11.9        3.013       0.00893      
12.02       2.993       0.009013     
12.14       2.972       0.008964     
12.26       2.948       0.008753     
12.38       2.926       0.008608     
12.51       2.918       0.008592     
12.63       2.902       0.008585     
12.76       2.893       0.008619     
12.89       2.872       0.008619     
13.02       2.854       0.008592     
13.15       2.838       0.008548     
13.28       2.819       0.008492     
13.41       2.805       0.008478     
13.55       2.779       0.008414     
13.69       2.763       0.008311     
13.82       2.75        0.008195     
13.96       2.73        0.008116     
14.1        2.722       0.008127     
14.24       2.708       0.008095     
14.39       2.683       0.008072     
14.53       2.669       0.008123     
14.68       2.654       0.008181     
14.82       2.636       0.008176     
14.97       2.621       0.008188     
15.12       2.611       0.008195     
15.28       2.602       0.008191     
15.43       2.586       0.008207     
15.58       2.567       0.008208     
15.74       2.553       0.008243     
15.9        2.547       0.008264     
16.06       2.528       0.008193     
16.22       2.521       0.008117     
16.38       2.507       0.008051     
16.55       2.489       0.007958     
16.72       2.481       0.007885     
16.88       2.47        0.007842     
17.05       2.462       0.007818     
17.22       2.447       0.007771     
17.4        2.447       0.007766     
17.57       2.429       0.007711     
17.75       2.416       0.00767      
17.93       2.413       0.007654     
18.11       2.407       0.007652     
18.29       2.405       0.007653     
18.47       2.394       0.007611     
18.66       2.392       0.007603     
18.85       2.371       0.007577     
19.04       2.369       0.007579     
19.23       2.361       0.007557     
19.42       2.355       0.007549     
19.62       2.35        0.007503     
19.81       2.341       0.007425     
20.01       2.336       0.007353     
20.21       2.34        0.007308     
20.42       2.336       0.007241     
20.62       2.324       0.007153     
20.83       2.326       0.007117     
21.04       2.325       0.007094     
21.25       2.321       0.007034     
21.46       2.318       0.006992     
21.68       2.322       0.006963     
21.9        2.309       0.006902     
22.12       2.304       0.006835     
22.34       2.303       0.006806     
22.56       2.296       0.006755     
22.79       2.302       0.006754     
23.02       2.299       0.006743     
23.25       2.29        0.006716     
23.48       2.292       0.006698     
23.72       2.295       0.006672     
23.96       2.295       0.006641     
24.2        2.301       0.006637     
24.44       2.294       0.006611     
24.69       2.286       0.006581     
24.94       2.299       0.006578     
25.19       2.294       0.006543     
25.44       2.297       0.006522     
25.7        2.288       0.006465     
25.95       2.297       0.006453     
26.21       2.304       0.006448     
26.48       2.305       0.006417     
26.74       2.304       0.006393     
27.01       2.314       0.00638      
27.28       2.317       0.006348     
27.56       2.322       0.006337     
27.84       2.322       0.006314     
28.12       2.321       0.006297     
28.4        2.328       0.006276     
28.68       2.338       0.006256     
28.97       2.343       0.006241     
29.26       2.358       0.006232     
29.56       2.364       0.006219     
29.85       2.352       0.006187     
30.15       2.357       0.006177     
30.46       2.371       0.006175     
30.76       2.378       0.006158     
31.07       2.375       0.006131     
31.38       2.387       0.006131     
31.7        2.394       0.006121     
32.02       2.4         0.006114     
32.34       2.401       0.006091     
32.67       2.404       0.006076     
32.99       2.41        0.00606      
33.33       2.417       0.006055     
33.66       2.424       0.006043     
34          2.436       0.006053     
34.34       2.443       0.006046     
34.69       2.447       0.006025     
35.03       2.456       0.006016     
35.39       2.465       0.006015     
35.74       2.469       0.006007     
36.1        2.474       0.005995     
36.46       2.48        0.005984     
36.83       2.483       0.005969     
37.2        2.483       0.005958     
37.57       2.495       0.005956     
37.95       2.508       0.005952     
38.33       2.51        0.005941     
38.72       2.511       0.005923     
39.11       2.52        0.005923     
39.5        2.523       0.005911     
39.9        2.53        0.005902     
40.3        2.531       0.005888     
40.7        2.538       0.005895     
41.11       2.542       0.005871     
41.53       2.546       0.005852     
41.94       2.553       0.005849     
42.36       2.562       0.005847     
42.79       2.567       0.00584      
43.22       2.567       0.005826     
43.65       2.57        0.00581      
44.09       2.577       0.005803     
44.54       2.576       0.005785     
44.98       2.567       0.005761     
45.44       2.575       0.005751     
45.89       2.585       0.005753     
46.35       2.589       0.005746     
46.82       2.589       0.005736     
47.29       2.586       0.005719     
47.77       2.591       0.005711     
48.25       2.594       0.005695     
48.73       2.595       0.005681     
49.22       2.592       0.005667     
49.72       2.598       0.005662     
50.22       2.593       0.005638     
50.72       2.588       0.005615     
51.23       2.586       0.005603     
51.74       2.582       0.005583     
52.26       2.588       0.005577     
52.79       2.588       0.005563     
53.32       2.584       0.005539     
53.86       2.584       0.005532     
54.4        2.582       0.005522     
54.94       2.579       0.005513     
55.5        2.574       0.005483     
56.05       2.566       0.005458     
56.62       2.562       0.005443     
57.19       2.562       0.005426     
57.76       2.549       0.0054       
58.34       2.541       0.005375     
58.93       2.549       0.00537      
59.52       2.546       0.005358     
60.12       2.539       0.00534      
60.72       2.53        0.005314     
61.33       2.522       0.005295     
61.95       2.514       0.005263     
62.57       2.504       0.005238     
63.2        2.495       0.005216     
63.84       2.488       0.005196     
64.48       2.484       0.005178     
65.13       2.478       0.005159     
65.78       2.462       0.005127     
66.44       2.451       0.0051       
67.11       2.443       0.005079     
67.78       2.436       0.005062     
68.46       2.432       0.005048     
69.15       2.419       0.005019     
69.85       2.41        0.004995     
70.55       2.393       0.004961     
71.26       2.385       0.004942     
71.97       2.375       0.004926     
72.7        2.357       0.004893     
73.43       2.35        0.004874     
74.17       2.339       0.004847     
74.91       2.327       0.004823     
75.67       2.315       0.004788     
76.43       2.302       0.004763     
77.19       2.287       0.004735     
77.97       2.271       0.004705     
78.75       2.253       0.004668     
79.54       2.248       0.004655     
80.34       2.231       0.004626     
81.15       2.214       0.004595     
81.97       2.196       0.004565     
