#ZVView-data-copy:  10-Nov-2015 14:42:01
#=======================================
#
#name:   6-C-0(N,TOT),,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  2444
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       0.83355       2.7434     0.076268  # 2001,W.P.Abfalterer+     ## 13794002
       0.83474       2.6666     0.073882  # 2001,W.P.Abfalterer+     ## 13794002
       0.83593       2.7882     0.073906  # 2001,W.P.Abfalterer+     ## 13794002
       0.83713       2.7029     0.073994  # 2001,W.P.Abfalterer+     ## 13794002
       0.83833       2.7381     0.072587  # 2001,W.P.Abfalterer+     ## 13794002
       0.83953       2.7963     0.075991  # 2001,W.P.Abfalterer+     ## 13794002
       0.84073       2.6768     0.072926  # 2001,W.P.Abfalterer+     ## 13794002
       0.84194       2.8189     0.073854  # 2001,W.P.Abfalterer+     ## 13794002
       0.84315       2.7679     0.072285  # 2001,W.P.Abfalterer+     ## 13794002
       0.84436       2.7469     0.070407  # 2001,W.P.Abfalterer+     ## 13794002
       0.84557       2.7422     0.071675  # 2001,W.P.Abfalterer+     ## 13794002
       0.84679       2.8914     0.074413  # 2001,W.P.Abfalterer+     ## 13794002
       0.84801       2.8291     0.072871  # 2001,W.P.Abfalterer+     ## 13794002
       0.84923       2.7638     0.072198  # 2001,W.P.Abfalterer+     ## 13794002
       0.85046       2.7879     0.070765  # 2001,W.P.Abfalterer+     ## 13794002
       0.85168       2.7926     0.071627  # 2001,W.P.Abfalterer+     ## 13794002
       0.85291       2.6769     0.067204  # 2001,W.P.Abfalterer+     ## 13794002
       0.85415       2.7674     0.069585  # 2001,W.P.Abfalterer+     ## 13794002
       0.85538       2.8125     0.067919  # 2001,W.P.Abfalterer+     ## 13794002
       0.85662       2.7271      0.06457  # 2001,W.P.Abfalterer+     ## 13794002
       0.85786       2.7926     0.069076  # 2001,W.P.Abfalterer+     ## 13794002
        0.8591       2.8346      0.06791  # 2001,W.P.Abfalterer+     ## 13794002
       0.86035       2.8142      0.06944  # 2001,W.P.Abfalterer+     ## 13794002
        0.8616       2.7642     0.068437  # 2001,W.P.Abfalterer+     ## 13794002
       0.86285       2.7472     0.066548  # 2001,W.P.Abfalterer+     ## 13794002
        0.8641       2.8208     0.068189  # 2001,W.P.Abfalterer+     ## 13794002
