#ZVView-data-copy:  10-Nov-2015 14:42:01
#=======================================
#
#name:   6-C-0(N,TOT),,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  2444
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
        2.2647       1.6014     0.010692  # 2001,W.P.Abfalterer+     ## 13794002
          2.27       1.5939     0.010568  # 2001,W.P.Abfalterer+     ## 13794002
        2.2754       1.5838      0.01039  # 2001,W.P.Abfalterer+     ## 13794002
        2.2808       1.6094     0.010407  # 2001,W.P.Abfalterer+     ## 13794002
        2.2862       1.5977     0.010327  # 2001,W.P.Abfalterer+     ## 13794002
        2.2916       1.5916     0.010223  # 2001,W.P.Abfalterer+     ## 13794002
         2.297        1.578     0.010154  # 2001,W.P.Abfalterer+     ## 13794002
        2.3025       1.5941      0.01015  # 2001,W.P.Abfalterer+     ## 13794002
         2.308       1.5848     0.010046  # 2001,W.P.Abfalterer+     ## 13794002
        2.3134       1.5793    0.0099594  # 2001,W.P.Abfalterer+     ## 13794002
         2.319       1.5854    0.0099308  # 2001,W.P.Abfalterer+     ## 13794002
        2.3245       1.5815    0.0097834  # 2001,W.P.Abfalterer+     ## 13794002
          2.33       1.5825    0.0097352  # 2001,W.P.Abfalterer+     ## 13794002
        2.3356       1.5986    0.0096474  # 2001,W.P.Abfalterer+     ## 13794002
        2.3412       1.5858    0.0096002  # 2001,W.P.Abfalterer+     ## 13794002
        2.3468       1.5655    0.0095023  # 2001,W.P.Abfalterer+     ## 13794002
        2.3525       1.5807    0.0094794  # 2001,W.P.Abfalterer+     ## 13794002
        2.3581       1.5918    0.0094247  # 2001,W.P.Abfalterer+     ## 13794002
        2.3638        1.571    0.0093202  # 2001,W.P.Abfalterer+     ## 13794002
        2.3695       1.5685    0.0092534  # 2001,W.P.Abfalterer+     ## 13794002
        2.3752       1.5713    0.0091581  # 2001,W.P.Abfalterer+     ## 13794002
         2.381       1.5876    0.0091956  # 2001,W.P.Abfalterer+     ## 13794002
        2.3867       1.5776    0.0090433  # 2001,W.P.Abfalterer+     ## 13794002
        2.3925       1.5818    0.0090356  # 2001,W.P.Abfalterer+     ## 13794002
        2.3983       1.5711    0.0089836  # 2001,W.P.Abfalterer+     ## 13794002
        2.4041       1.5664    0.0089179  # 2001,W.P.Abfalterer+     ## 13794002
          2.41        1.568    0.0088466  # 2001,W.P.Abfalterer+     ## 13794002
        2.4158       1.5917    0.0088617  # 2001,W.P.Abfalterer+     ## 13794002
        2.4217        1.589      0.00883  # 2001,W.P.Abfalterer+     ## 13794002
        2.4276       1.5836    0.0087806  # 2001,W.P.Abfalterer+     ## 13794002
        2.4336       1.5883    0.0087144  # 2001,W.P.Abfalterer+     ## 13794002
        2.4395       1.5803    0.0086157  # 2001,W.P.Abfalterer+     ## 13794002
        2.4455       1.5883    0.0085886  # 2001,W.P.Abfalterer+     ## 13794002
        2.4515       1.5823     0.008491  # 2001,W.P.Abfalterer+     ## 13794002
        2.4575       1.5674    0.0084072  # 2001,W.P.Abfalterer+     ## 13794002
        2.4635       1.5825     0.008389  # 2001,W.P.Abfalterer+     ## 13794002
        2.4696       1.5786    0.0083068  # 2001,W.P.Abfalterer+     ## 13794002
        2.4757       1.5785    0.0082682  # 2001,W.P.Abfalterer+     ## 13794002
        2.4818       1.5938    0.0082227  # 2001,W.P.Abfalterer+     ## 13794002
        2.4879       1.5936    0.0081843  # 2001,W.P.Abfalterer+     ## 13794002
        2.4941       1.5979    0.0081514  # 2001,W.P.Abfalterer+     ## 13794002
        2.5003       1.5748    0.0080361  # 2001,W.P.Abfalterer+     ## 13794002
        2.5064       1.5988    0.0080786  # 2001,W.P.Abfalterer+     ## 13794002
        2.5127       1.6242    0.0080993  # 2001,W.P.Abfalterer+     ## 13794002
        2.5189       1.6042    0.0079532  # 2001,W.P.Abfalterer+     ## 13794002
        2.5252       1.5922    0.0078719  # 2001,W.P.Abfalterer+     ## 13794002
        2.5315        1.599    0.0078163  # 2001,W.P.Abfalterer+     ## 13794002
        2.5378       1.6012     0.007751  # 2001,W.P.Abfalterer+     ## 13794002
        2.5441       1.6106    0.0077288  # 2001,W.P.Abfalterer+     ## 13794002
        2.5505       1.6074    0.0076692  # 2001,W.P.Abfalterer+     ## 13794002
        2.5569       1.5975    0.0076188  # 2001,W.P.Abfalterer+     ## 13794002
        2.5633       1.6142    0.0075927  # 2001,W.P.Abfalterer+     ## 13794002
        2.5697       1.6145    0.0075229  # 2001,W.P.Abfalterer+     ## 13794002
        2.5762       1.6312    0.0074965  # 2001,W.P.Abfalterer+     ## 13794002
        2.5827       1.6179      0.00744  # 2001,W.P.Abfalterer+     ## 13794002
        2.5892       1.6055    0.0073734  # 2001,W.P.Abfalterer+     ## 13794002
        2.5957       1.6294    0.0073417  # 2001,W.P.Abfalterer+     ## 13794002
        2.6023        1.632    0.0073066  # 2001,W.P.Abfalterer+     ## 13794002
        2.6089       1.6274    0.0072611  # 2001,W.P.Abfalterer+     ## 13794002
        2.6155       1.6607    0.0072842  # 2001,W.P.Abfalterer+     ## 13794002
        2.6221       1.6532    0.0072225  # 2001,W.P.Abfalterer+     ## 13794002
        2.6288       1.6626    0.0072038  # 2001,W.P.Abfalterer+     ## 13794002
        2.6354       1.6677    0.0071544  # 2001,W.P.Abfalterer+     ## 13794002
        2.6421       1.6626    0.0071174  # 2001,W.P.Abfalterer+     ## 13794002
        2.6489       1.6694     0.007065  # 2001,W.P.Abfalterer+     ## 13794002
        2.6556       1.6731    0.0070409  # 2001,W.P.Abfalterer+     ## 13794002
        2.6624       1.6902     0.007018  # 2001,W.P.Abfalterer+     ## 13794002
        2.6692        1.693    0.0070255  # 2001,W.P.Abfalterer+     ## 13794002
        2.6761       1.7026    0.0069812  # 2001,W.P.Abfalterer+     ## 13794002
        2.6829         1.72    0.0069923  # 2001,W.P.Abfalterer+     ## 13794002
        2.6898       1.7122    0.0069508  # 2001,W.P.Abfalterer+     ## 13794002
        2.6967       1.7073    0.0069325  # 2001,W.P.Abfalterer+     ## 13794002
        2.7037       1.7484    0.0069775  # 2001,W.P.Abfalterer+     ## 13794002
        2.7107       1.7479    0.0069287  # 2001,W.P.Abfalterer+     ## 13794002
        2.7177       1.7692     0.006925  # 2001,W.P.Abfalterer+     ## 13794002
        2.7247        1.786    0.0068993  # 2001,W.P.Abfalterer+     ## 13794002
        2.7318       1.7809    0.0068237  # 2001,W.P.Abfalterer+     ## 13794002
        2.7388       1.7939     0.006815  # 2001,W.P.Abfalterer+     ## 13794002
        2.7459       1.8112    0.0068031  # 2001,W.P.Abfalterer+     ## 13794002
        2.7531       1.8282    0.0068163  # 2001,W.P.Abfalterer+     ## 13794002
        2.7602       1.8608    0.0068642  # 2001,W.P.Abfalterer+     ## 13794002
        2.7674        1.859    0.0068448  # 2001,W.P.Abfalterer+     ## 13794002
        2.7747       1.8888    0.0068845  # 2001,W.P.Abfalterer+     ## 13794002
        2.7819       1.9022    0.0069267  # 2001,W.P.Abfalterer+     ## 13794002
        2.7892       1.9405    0.0069805  # 2001,W.P.Abfalterer+     ## 13794002
        2.7965       1.9833    0.0070455  # 2001,W.P.Abfalterer+     ## 13794002
        2.8038       2.0265    0.0071541  # 2001,W.P.Abfalterer+     ## 13794002
        2.8112       2.1273    0.0074059  # 2001,W.P.Abfalterer+     ## 13794002
        2.8186       2.2946    0.0078348  # 2001,W.P.Abfalterer+     ## 13794002
         2.826       2.1914    0.0075952  # 2001,W.P.Abfalterer+     ## 13794002
        2.8335        2.127     0.007485  # 2001,W.P.Abfalterer+     ## 13794002
        2.8409        2.136    0.0075303  # 2001,W.P.Abfalterer+     ## 13794002
        2.8484       2.1658    0.0076252  # 2001,W.P.Abfalterer+     ## 13794002
         2.856       2.2112    0.0077673  # 2001,W.P.Abfalterer+     ## 13794002
        2.8635       2.2726    0.0079745  # 2001,W.P.Abfalterer+     ## 13794002
        2.8712       2.3137     0.008121  # 2001,W.P.Abfalterer+     ## 13794002
        2.8788       2.3997     0.008416  # 2001,W.P.Abfalterer+     ## 13794002
        2.8865       2.4632    0.0086192  # 2001,W.P.Abfalterer+     ## 13794002
        2.8941       2.5485    0.0089302  # 2001,W.P.Abfalterer+     ## 13794002
        2.9019       2.6307    0.0092094  # 2001,W.P.Abfalterer+     ## 13794002
        2.9096       2.7427    0.0095836  # 2001,W.P.Abfalterer+     ## 13794002
        2.9174       2.8485    0.0099871  # 2001,W.P.Abfalterer+     ## 13794002
        2.9252       2.9585     0.010421  # 2001,W.P.Abfalterer+     ## 13794002
        2.9331       3.0141     0.010684  # 2001,W.P.Abfalterer+     ## 13794002
        2.9409       3.0378       0.0109  # 2001,W.P.Abfalterer+     ## 13794002
        2.9489       2.9594     0.010894  # 2001,W.P.Abfalterer+     ## 13794002
        2.9568       2.8268      0.01062  # 2001,W.P.Abfalterer+     ## 13794002
        2.9648        2.529    0.0096996  # 2001,W.P.Abfalterer+     ## 13794002
        2.9728       2.1541    0.0086176  # 2001,W.P.Abfalterer+     ## 13794002
        2.9808       1.8034    0.0077301  # 2001,W.P.Abfalterer+     ## 13794002
        2.9889       1.5106    0.0070621  # 2001,W.P.Abfalterer+     ## 13794002
         2.997       1.3262      0.00665  # 2001,W.P.Abfalterer+     ## 13794002
         3.001       1.4284     0.024995  # 2001,W.P.Abfalterer+     ## 13794002
        3.0033       1.4058     0.024881  # 2001,W.P.Abfalterer+     ## 13794002
        3.0056       1.3221     0.024146  # 2001,W.P.Abfalterer+     ## 13794002
        3.0079       1.3124     0.023809  # 2001,W.P.Abfalterer+     ## 13794002
        3.0102       1.2556      0.02358  # 2001,W.P.Abfalterer+     ## 13794002
        3.0125       1.2205     0.023203  # 2001,W.P.Abfalterer+     ## 13794002
        3.0148       1.2621     0.023092  # 2001,W.P.Abfalterer+     ## 13794002
        3.0171       1.2201      0.02283  # 2001,W.P.Abfalterer+     ## 13794002
        3.0195       1.2115     0.022474  # 2001,W.P.Abfalterer+     ## 13794002
        3.0218       1.2413     0.022779  # 2001,W.P.Abfalterer+     ## 13794002
        3.0241       1.2182     0.022668  # 2001,W.P.Abfalterer+     ## 13794002
        3.0265       1.2032     0.022468  # 2001,W.P.Abfalterer+     ## 13794002
        3.0288       1.1568     0.022168  # 2001,W.P.Abfalterer+     ## 13794002
        3.0311       1.2045     0.022411  # 2001,W.P.Abfalterer+     ## 13794002
        3.0335       1.2285     0.022265  # 2001,W.P.Abfalterer+     ## 13794002
        3.0358       1.1868     0.022216  # 2001,W.P.Abfalterer+     ## 13794002
        3.0382       1.2427     0.022392  # 2001,W.P.Abfalterer+     ## 13794002
        3.0405       1.3088     0.022686  # 2001,W.P.Abfalterer+     ## 13794002
        3.0429       1.2743      0.02261  # 2001,W.P.Abfalterer+     ## 13794002
        3.0452       1.2809     0.022619  # 2001,W.P.Abfalterer+     ## 13794002
        3.0476        1.291      0.02249  # 2001,W.P.Abfalterer+     ## 13794002
        3.0499       1.3176     0.022851  # 2001,W.P.Abfalterer+     ## 13794002
        3.0523       1.3304     0.022544  # 2001,W.P.Abfalterer+     ## 13794002
        3.0547        1.363     0.022897  # 2001,W.P.Abfalterer+     ## 13794002
         3.057       1.2928     0.022279  # 2001,W.P.Abfalterer+     ## 13794002
        3.0594       1.3285     0.022613  # 2001,W.P.Abfalterer+     ## 13794002
        3.0618       1.3157     0.022532  # 2001,W.P.Abfalterer+     ## 13794002
        3.0641       1.3645     0.022678  # 2001,W.P.Abfalterer+     ## 13794002
        3.0665       1.4349     0.023151  # 2001,W.P.Abfalterer+     ## 13794002
        3.0689       1.3256     0.022555  # 2001,W.P.Abfalterer+     ## 13794002
        3.0713       1.3975     0.022834  # 2001,W.P.Abfalterer+     ## 13794002
        3.0737       1.4332     0.023192  # 2001,W.P.Abfalterer+     ## 13794002
        3.0761       1.4503     0.023162  # 2001,W.P.Abfalterer+     ## 13794002
        3.0784       1.4063     0.023222  # 2001,W.P.Abfalterer+     ## 13794002
        3.0808       1.4836     0.023374  # 2001,W.P.Abfalterer+     ## 13794002
        3.0833       1.4555     0.023308  # 2001,W.P.Abfalterer+     ## 13794002
        3.0856       1.5368     0.023767  # 2001,W.P.Abfalterer+     ## 13794002
         3.088       1.4014     0.022939  # 2001,W.P.Abfalterer+     ## 13794002
        3.0905       1.5462     0.023446  # 2001,W.P.Abfalterer+     ## 13794002
        3.0929       1.5297     0.023607  # 2001,W.P.Abfalterer+     ## 13794002
        3.0953       1.5923     0.023297  # 2001,W.P.Abfalterer+     ## 13794002
        3.0977       1.5325     0.023533  # 2001,W.P.Abfalterer+     ## 13794002
        3.1001       1.4888     0.023136  # 2001,W.P.Abfalterer+     ## 13794002
        3.1025       1.5778     0.023909  # 2001,W.P.Abfalterer+     ## 13794002
        3.1049       1.5669     0.023664  # 2001,W.P.Abfalterer+     ## 13794002
        3.1074       1.5763     0.023321  # 2001,W.P.Abfalterer+     ## 13794002
        3.1098       1.6748     0.023877  # 2001,W.P.Abfalterer+     ## 13794002
        3.1122       1.6387     0.024124  # 2001,W.P.Abfalterer+     ## 13794002
        3.1147       1.6047     0.023544  # 2001,W.P.Abfalterer+     ## 13794002
        3.1171       1.6238     0.023701  # 2001,W.P.Abfalterer+     ## 13794002
        3.1195       1.6623     0.023723  # 2001,W.P.Abfalterer+     ## 13794002
         3.122       1.6649     0.023972  # 2001,W.P.Abfalterer+     ## 13794002
        3.1244       1.6897     0.024009  # 2001,W.P.Abfalterer+     ## 13794002
        3.1269       1.6686     0.023817  # 2001,W.P.Abfalterer+     ## 13794002
        3.1293       1.6863     0.023627  # 2001,W.P.Abfalterer+     ## 13794002
        3.1318       1.6686     0.023934  # 2001,W.P.Abfalterer+     ## 13794002
        3.1343       1.7093     0.023917  # 2001,W.P.Abfalterer+     ## 13794002
        3.1367       1.7502     0.024165  # 2001,W.P.Abfalterer+     ## 13794002
        3.1392        1.734     0.024182  # 2001,W.P.Abfalterer+     ## 13794002
        3.1416       1.7752     0.024313  # 2001,W.P.Abfalterer+     ## 13794002
        3.1441       1.7944     0.024284  # 2001,W.P.Abfalterer+     ## 13794002
        3.1466       1.7845     0.024435  # 2001,W.P.Abfalterer+     ## 13794002
        3.1491       1.7378     0.024023  # 2001,W.P.Abfalterer+     ## 13794002
        3.1515       1.7371     0.024204  # 2001,W.P.Abfalterer+     ## 13794002
         3.154       1.7702     0.024445  # 2001,W.P.Abfalterer+     ## 13794002
        3.1565       1.8164     0.024521  # 2001,W.P.Abfalterer+     ## 13794002
         3.159       1.7744     0.024187  # 2001,W.P.Abfalterer+     ## 13794002
        3.1615        1.819      0.02482  # 2001,W.P.Abfalterer+     ## 13794002
         3.164       1.8582     0.024707  # 2001,W.P.Abfalterer+     ## 13794002
        3.1665       1.8408     0.024595  # 2001,W.P.Abfalterer+     ## 13794002
         3.169       1.8397     0.024615  # 2001,W.P.Abfalterer+     ## 13794002
        3.1715        1.915     0.025093  # 2001,W.P.Abfalterer+     ## 13794002
         3.174        1.866     0.024778  # 2001,W.P.Abfalterer+     ## 13794002
        3.1765       1.8151     0.024735  # 2001,W.P.Abfalterer+     ## 13794002
         3.179       1.8188     0.024447  # 2001,W.P.Abfalterer+     ## 13794002
        3.1815       1.9317     0.025027  # 2001,W.P.Abfalterer+     ## 13794002
         3.184       1.9162     0.024887  # 2001,W.P.Abfalterer+     ## 13794002
        3.1865       1.9857     0.025788  # 2001,W.P.Abfalterer+     ## 13794002
        3.1891        1.963      0.02528  # 2001,W.P.Abfalterer+     ## 13794002
        3.1916       1.9599     0.025205  # 2001,W.P.Abfalterer+     ## 13794002
        3.1941       1.9267     0.025063  # 2001,W.P.Abfalterer+     ## 13794002
        3.1967       1.9646     0.025207  # 2001,W.P.Abfalterer+     ## 13794002
        3.1992       1.9525     0.025202  # 2001,W.P.Abfalterer+     ## 13794002
        3.2017       1.9995     0.025367  # 2001,W.P.Abfalterer+     ## 13794002
        3.2043       1.9722     0.025388  # 2001,W.P.Abfalterer+     ## 13794002
        3.2068       1.9802     0.025458  # 2001,W.P.Abfalterer+     ## 13794002
        3.2094       1.9305     0.025251  # 2001,W.P.Abfalterer+     ## 13794002
        3.2119       2.0182     0.025655  # 2001,W.P.Abfalterer+     ## 13794002
        3.2145       2.0529     0.025905  # 2001,W.P.Abfalterer+     ## 13794002
         3.217       2.0061     0.025796  # 2001,W.P.Abfalterer+     ## 13794002
        3.2196       1.9836     0.025296  # 2001,W.P.Abfalterer+     ## 13794002
        3.2221       2.0692     0.025979  # 2001,W.P.Abfalterer+     ## 13794002
        3.2247       2.0629     0.025889  # 2001,W.P.Abfalterer+     ## 13794002
        3.2273        2.029     0.025691  # 2001,W.P.Abfalterer+     ## 13794002
        3.2298       2.1062     0.026042  # 2001,W.P.Abfalterer+     ## 13794002
        3.2324       2.0418     0.025238  # 2001,W.P.Abfalterer+     ## 13794002
         3.235        2.104     0.026114  # 2001,W.P.Abfalterer+     ## 13794002
        3.2376       2.1102      0.02578  # 2001,W.P.Abfalterer+     ## 13794002
        3.2402       2.1445     0.026087  # 2001,W.P.Abfalterer+     ## 13794002
        3.2427       2.1175     0.025899  # 2001,W.P.Abfalterer+     ## 13794002
        3.2453       2.1004     0.025686  # 2001,W.P.Abfalterer+     ## 13794002
        3.2479       2.0957     0.025867  # 2001,W.P.Abfalterer+     ## 13794002
        3.2505       2.1192     0.025538  # 2001,W.P.Abfalterer+     ## 13794002
        3.2531       2.1981     0.026164  # 2001,W.P.Abfalterer+     ## 13794002
        3.2557       2.1724     0.025793  # 2001,W.P.Abfalterer+     ## 13794002
        3.2583       2.2207     0.025973  # 2001,W.P.Abfalterer+     ## 13794002
        3.2609       2.1472     0.025762  # 2001,W.P.Abfalterer+     ## 13794002
        3.2636        2.253     0.026248  # 2001,W.P.Abfalterer+     ## 13794002
        3.2662       2.2087     0.026105  # 2001,W.P.Abfalterer+     ## 13794002
        3.2688       2.1444     0.025437  # 2001,W.P.Abfalterer+     ## 13794002
        3.2714       2.2701     0.026397  # 2001,W.P.Abfalterer+     ## 13794002
         3.274       2.2146     0.026039  # 2001,W.P.Abfalterer+     ## 13794002
        3.2767       2.2761     0.026072  # 2001,W.P.Abfalterer+     ## 13794002
        3.2793       2.2396     0.026072  # 2001,W.P.Abfalterer+     ## 13794002
        3.2819       2.2339     0.025965  # 2001,W.P.Abfalterer+     ## 13794002
        3.2846       2.2241     0.025786  # 2001,W.P.Abfalterer+     ## 13794002
        3.2872       2.3058     0.026214  # 2001,W.P.Abfalterer+     ## 13794002
        3.2898       2.3027     0.026293  # 2001,W.P.Abfalterer+     ## 13794002
        3.2925       2.2452     0.026031  # 2001,W.P.Abfalterer+     ## 13794002
        3.2951       2.2779     0.026229  # 2001,W.P.Abfalterer+     ## 13794002
        3.2978       2.2819     0.026042  # 2001,W.P.Abfalterer+     ## 13794002
        3.3005       2.2772     0.025863  # 2001,W.P.Abfalterer+     ## 13794002
        3.3031       2.3166     0.025665  # 2001,W.P.Abfalterer+     ## 13794002
        3.3058       2.3743     0.026526  # 2001,W.P.Abfalterer+     ## 13794002
        3.3084       2.3434      0.02634  # 2001,W.P.Abfalterer+     ## 13794002
        3.3111       2.4293     0.026894  # 2001,W.P.Abfalterer+     ## 13794002
        3.3138       2.3529     0.026243  # 2001,W.P.Abfalterer+     ## 13794002
        3.3165       2.3588     0.026267  # 2001,W.P.Abfalterer+     ## 13794002
        3.3191       2.4048     0.026199  # 2001,W.P.Abfalterer+     ## 13794002
        3.3218        2.367     0.026022  # 2001,W.P.Abfalterer+     ## 13794002
        3.3245       2.3349     0.026012  # 2001,W.P.Abfalterer+     ## 13794002
        3.3272       2.4003     0.026483  # 2001,W.P.Abfalterer+     ## 13794002
        3.3299       2.3996     0.026345  # 2001,W.P.Abfalterer+     ## 13794002
        3.3326       2.4142     0.026722  # 2001,W.P.Abfalterer+     ## 13794002
        3.3353       2.3843     0.026256  # 2001,W.P.Abfalterer+     ## 13794002
         3.338       2.4254     0.026591  # 2001,W.P.Abfalterer+     ## 13794002
        3.3407        2.406     0.026372  # 2001,W.P.Abfalterer+     ## 13794002
        3.3434       2.3975      0.02634  # 2001,W.P.Abfalterer+     ## 13794002
        3.3461       2.3932     0.026392  # 2001,W.P.Abfalterer+     ## 13794002
        3.3488       2.4871     0.026755  # 2001,W.P.Abfalterer+     ## 13794002
        3.3515       2.4494     0.026486  # 2001,W.P.Abfalterer+     ## 13794002
        3.3542       2.4493       0.0263  # 2001,W.P.Abfalterer+     ## 13794002
         3.357       2.4643     0.026268  # 2001,W.P.Abfalterer+     ## 13794002
        3.3597       2.5124      0.02669  # 2001,W.P.Abfalterer+     ## 13794002
        3.3624       2.5047      0.02655  # 2001,W.P.Abfalterer+     ## 13794002
        3.3652        2.516     0.026603  # 2001,W.P.Abfalterer+     ## 13794002
        3.3679       2.5143     0.026457  # 2001,W.P.Abfalterer+     ## 13794002
        3.3707        2.533     0.026536  # 2001,W.P.Abfalterer+     ## 13794002
        3.3734       2.4954     0.026449  # 2001,W.P.Abfalterer+     ## 13794002
        3.3761       2.5046     0.026712  # 2001,W.P.Abfalterer+     ## 13794002
        3.3789       2.5126     0.026038  # 2001,W.P.Abfalterer+     ## 13794002
        3.3816       2.5616     0.026803  # 2001,W.P.Abfalterer+     ## 13794002
        3.3844       2.5186     0.026299  # 2001,W.P.Abfalterer+     ## 13794002
        3.3872       2.5815     0.026753  # 2001,W.P.Abfalterer+     ## 13794002
        3.3899       2.5854     0.026853  # 2001,W.P.Abfalterer+     ## 13794002
        3.3927       2.5805     0.026561  # 2001,W.P.Abfalterer+     ## 13794002
        3.3955       2.5993      0.02682  # 2001,W.P.Abfalterer+     ## 13794002
        3.3983       2.5923     0.026352  # 2001,W.P.Abfalterer+     ## 13794002
         3.401       2.5544      0.02624  # 2001,W.P.Abfalterer+     ## 13794002
        3.4038       2.5472     0.026426  # 2001,W.P.Abfalterer+     ## 13794002
        3.4066       2.5622     0.026226  # 2001,W.P.Abfalterer+     ## 13794002
        3.4094       2.5968     0.026575  # 2001,W.P.Abfalterer+     ## 13794002
        3.4122        2.575     0.026411  # 2001,W.P.Abfalterer+     ## 13794002
         3.415       2.5097     0.026198  # 2001,W.P.Abfalterer+     ## 13794002
        3.4178       2.5553      0.02601  # 2001,W.P.Abfalterer+     ## 13794002
        3.4206        2.623     0.026622  # 2001,W.P.Abfalterer+     ## 13794002
        3.4234       2.6006     0.026207  # 2001,W.P.Abfalterer+     ## 13794002
        3.4262       2.6224     0.026638  # 2001,W.P.Abfalterer+     ## 13794002
         3.429       2.5991     0.025984  # 2001,W.P.Abfalterer+     ## 13794002
        3.4318       2.5955     0.026398  # 2001,W.P.Abfalterer+     ## 13794002
        3.4346       2.6857      0.02675  # 2001,W.P.Abfalterer+     ## 13794002
        3.4375       2.6643     0.026696  # 2001,W.P.Abfalterer+     ## 13794002
        3.4403       2.5843     0.026202  # 2001,W.P.Abfalterer+     ## 13794002
        3.4431       2.6221     0.026228  # 2001,W.P.Abfalterer+     ## 13794002
         3.446       2.6119     0.026217  # 2001,W.P.Abfalterer+     ## 13794002
        3.4488        2.649     0.026463  # 2001,W.P.Abfalterer+     ## 13794002
        3.4516       2.6511     0.026254  # 2001,W.P.Abfalterer+     ## 13794002
        3.4545       2.6649     0.026341  # 2001,W.P.Abfalterer+     ## 13794002
        3.4573       2.6412     0.026182  # 2001,W.P.Abfalterer+     ## 13794002
        3.4602       2.6648     0.026271  # 2001,W.P.Abfalterer+     ## 13794002
         3.463       2.6203      0.02601  # 2001,W.P.Abfalterer+     ## 13794002
        3.4659       2.6621     0.026218  # 2001,W.P.Abfalterer+     ## 13794002
        3.4688       2.6408        0.026  # 2001,W.P.Abfalterer+     ## 13794002
        3.4716       2.6802     0.026557  # 2001,W.P.Abfalterer+     ## 13794002
        3.4745       2.6509     0.026056  # 2001,W.P.Abfalterer+     ## 13794002
        3.4774       2.6553     0.026421  # 2001,W.P.Abfalterer+     ## 13794002
        3.4802       2.6957     0.026202  # 2001,W.P.Abfalterer+     ## 13794002
        3.4831       2.6059     0.025518  # 2001,W.P.Abfalterer+     ## 13794002
         3.486       2.6903     0.026096  # 2001,W.P.Abfalterer+     ## 13794002
        3.4889        2.679     0.026066  # 2001,W.P.Abfalterer+     ## 13794002
        3.4918       2.6733     0.026196  # 2001,W.P.Abfalterer+     ## 13794002
        3.4947       2.7408     0.026811  # 2001,W.P.Abfalterer+     ## 13794002
        3.4976       2.6189     0.025814  # 2001,W.P.Abfalterer+     ## 13794002
        3.5005       2.6714      0.02673  # 2001,W.P.Abfalterer+     ## 13794002
        3.5034       2.7175     0.026614  # 2001,W.P.Abfalterer+     ## 13794002
        3.5063       2.6947     0.026999  # 2001,W.P.Abfalterer+     ## 13794002
        3.5092       2.7043     0.027058  # 2001,W.P.Abfalterer+     ## 13794002
        3.5121       2.6374     0.026412  # 2001,W.P.Abfalterer+     ## 13794002
         3.515       2.7092     0.026539  # 2001,W.P.Abfalterer+     ## 13794002
         3.518        2.688     0.026742  # 2001,W.P.Abfalterer+     ## 13794002
        3.5209       2.6845      0.02631  # 2001,W.P.Abfalterer+     ## 13794002
        3.5238       2.6595     0.026242  # 2001,W.P.Abfalterer+     ## 13794002
        3.5268       2.7138     0.026312  # 2001,W.P.Abfalterer+     ## 13794002
        3.5297       2.6568     0.025777  # 2001,W.P.Abfalterer+     ## 13794002
        3.5326       2.7219     0.026089  # 2001,W.P.Abfalterer+     ## 13794002
        3.5356       2.6506     0.025866  # 2001,W.P.Abfalterer+     ## 13794002
        3.5385       2.7262     0.026096  # 2001,W.P.Abfalterer+     ## 13794002
        3.5415       2.6872     0.026031  # 2001,W.P.Abfalterer+     ## 13794002
        3.5444       2.6648     0.025954  # 2001,W.P.Abfalterer+     ## 13794002
        3.5474       2.6855     0.026074  # 2001,W.P.Abfalterer+     ## 13794002
        3.5504       2.7182     0.026249  # 2001,W.P.Abfalterer+     ## 13794002
        3.5533       2.7012     0.026412  # 2001,W.P.Abfalterer+     ## 13794002
        3.5563        2.677     0.026033  # 2001,W.P.Abfalterer+     ## 13794002
        3.5593       2.6106     0.026038  # 2001,W.P.Abfalterer+     ## 13794002
        3.5623       2.6481     0.025979  # 2001,W.P.Abfalterer+     ## 13794002
        3.5652       2.7162     0.026505  # 2001,W.P.Abfalterer+     ## 13794002
        3.5682        2.649     0.026033  # 2001,W.P.Abfalterer+     ## 13794002
        3.5712       2.6352     0.026107  # 2001,W.P.Abfalterer+     ## 13794002
        3.5742       2.6965     0.026288  # 2001,W.P.Abfalterer+     ## 13794002
        3.5772       2.6678     0.026081  # 2001,W.P.Abfalterer+     ## 13794002
        3.5802       2.7162     0.026305  # 2001,W.P.Abfalterer+     ## 13794002
        3.5832       2.6058     0.025543  # 2001,W.P.Abfalterer+     ## 13794002
        3.5862       2.6973     0.025837  # 2001,W.P.Abfalterer+     ## 13794002
        3.5892       2.7041     0.025879  # 2001,W.P.Abfalterer+     ## 13794002
        3.5923       2.6717     0.025717  # 2001,W.P.Abfalterer+     ## 13794002
        3.5953       2.6139     0.025279  # 2001,W.P.Abfalterer+     ## 13794002
        3.5983       2.6851     0.025798  # 2001,W.P.Abfalterer+     ## 13794002
        3.6013       2.6598     0.025139  # 2001,W.P.Abfalterer+     ## 13794002
        3.6044       2.6323     0.025168  # 2001,W.P.Abfalterer+     ## 13794002
        3.6074       2.6341     0.025124  # 2001,W.P.Abfalterer+     ## 13794002
        3.6104          2.7     0.025229  # 2001,W.P.Abfalterer+     ## 13794002
        3.6135       2.6305      0.02471  # 2001,W.P.Abfalterer+     ## 13794002
        3.6165        2.605      0.02469  # 2001,W.P.Abfalterer+     ## 13794002
