F.J.Vaughn et al (1965) (to 2.466 MeV); S.R.Salisbury et al (1965) (2.5 MeV to 19 MeV)
18O (n,tot)
MeV      barns      barns (error)    
5.813    1.14       0
5.863    1.37       0
5.913    1.31       0
5.963    1.43       0
6.013    1.52       0
6.063    1.55       0
6.113    1.71       0
6.163    1.91       0
6.213    1.77       0
6.263    1.91       0
6.313    1.53       0
6.363    1.36       0
6.413    1.23       0
6.425    1.366      0
6.525    1.467      0
6.625    1.772      0
6.688    1.572      0
6.738    1.733      0
6.888    1.43       0
6.975    1.311      0
7.075    1.502      0
7.175    1.353      0
7.275    1.462      0
7.375    1.294      0
7.475    1.164      0
7.538    1.13       0
7.588    1.094      0
7.638    1.211      0
7.688    1.289      0
7.738    1.393      0
7.788    1.032      0
7.838    1.546      0
7.888    1.334      0
7.938    1.654      0
7.988    1.479      0
8.038    1.638      0
8.088    1.217      0
8.138    1.333      0
8.188    1.439      0
8.238    1.067      0
8.288    1.065      0
8.338    1.52       0
8.388    1.743      0
8.438    1.443      0
8.488    1.846      0
10.7     1.66       0
11.4     1.37       0
12.4     1.39       0
13.4     1.36       0
14.46    1.18       0
15.45    1.3        0
16.4     1.55       0
17.44    1.57       0
18.44    1.57       0
19.      1.49       0
