Literature data from W.P.Poenitz (1983) & Finlay et. al (1993)
Natural Sn (n,tot)
MeV         cs(barns)   cs_error(barns) 
32.665       3.2067      0.01547
32.994       3.1999      0.01542
33.325       3.1835      0.01536
 33.66       3.1902      0.01538
33.998         3.19      0.01535
 34.34       3.1999      0.01534
34.685       3.1814      0.01534
35.034       3.1747      0.01524
35.386       3.2009      0.01532
35.742       3.1627       0.0152
36.101       3.1912      0.01523
36.464       3.1911      0.01522
 36.83       3.1838      0.01521
  37.2       3.2239      0.01527
37.574       3.1955      0.01516
37.952       3.2275      0.01524
38.333        3.208      0.01513
38.718        3.201      0.01518
39.107       3.2237       0.0152
  39.5       3.2429       0.0152
39.898       3.2259      0.01516
40.298        3.229      0.01517
40.704       3.2477       0.0152
41.112       3.2331      0.01515
41.526        3.262      0.01522
41.943       3.2682      0.01521
42.365       3.2627      0.01519
 42.79       3.2886      0.01529
 43.22       3.2908      0.01522
43.655       3.2984      0.01523
44.094       3.3289      0.01528
44.537       3.3272      0.01532
44.984       3.3373      0.01529
45.436       3.3685      0.01536
45.893       3.3431      0.01535
46.354       3.3636      0.01537
 46.82       3.3801      0.01538
47.291       3.3802      0.01539
47.766       3.4056       0.0154
48.246       3.4118      0.01547
48.731       3.4376      0.01549
49.221       3.4286      0.01547
49.715       3.4298      0.01553
50.215       3.4719      0.01557
 50.72       3.4764      0.01557
 51.23       3.4693      0.01562
51.744       3.4838       0.0156
52.264       3.5027      0.01569
 52.79       3.5275      0.01573
 53.32       3.5286      0.01576
53.856       3.5034      0.01572
54.397        3.538       0.0158
54.944       3.5118      0.01576
55.496       3.5715      0.01587
56.054       3.5641      0.01582
56.617       3.5741      0.01589
57.186       3.6156      0.01597
57.761        3.586      0.01593
58.342       3.6219      0.01603
58.928       3.6119        0.016
 59.52       3.6099      0.01604
60.118        3.601      0.01605
60.723       3.6026      0.01608
61.333       3.6477      0.01614
61.949       3.6166      0.01609
62.572       3.6411      0.01616
63.201       3.6475      0.01617
63.836       3.6272      0.01618
64.478       3.6184       0.0162
65.126       3.6705       0.0163
 65.78       3.6814      0.01631
66.441       3.6588      0.01633
67.109       3.6498      0.01631
67.783        3.652      0.01634
68.465       3.6526      0.01635
69.153       3.6366       0.0163
69.848       3.6511      0.01639
 70.55       3.6508      0.01643
71.259       3.6525       0.0164
71.975       3.6523      0.01643
72.698       3.6458      0.01647
73.429       3.6498      0.01646
74.167       3.6088      0.01641
74.912       3.6323      0.01645
75.665       3.6408      0.01653
76.426       3.6125       0.0165
77.194       3.5733      0.01643
 77.97       3.5999      0.01651
78.753       3.5673      0.01644
79.545       3.5612      0.01645
80.344       3.5376      0.01645
81.152       3.5403      0.01648
81.967       3.5513      0.01645
82.791        3.546       0.0165
83.623       3.5051      0.01647
84.463       3.4897       0.0164
85.312       3.4937      0.01645
 86.17       3.4573      0.01642
87.036       3.4627      0.01643
 87.91       3.4421      0.01642
88.794       3.3809      0.01636
89.686       3.3737      0.01637
90.588       3.3834      0.01638
91.498       3.3598      0.01632
92.418       3.3417      0.01633
93.347       3.3425      0.01636
94.285       3.3174       0.0163
95.232       3.3194       0.0163
96.189       3.2779      0.01628
97.156       3.2711       0.0163
98.133       3.2439      0.01624
99.119       3.2048      0.01617
100.12       3.2078      0.01623
101.12       3.1925      0.01619
102.14       3.1895      0.01619
103.16        3.113      0.01608
 104.2       3.1256      0.01614
105.25       3.0797      0.01608
106.31       3.0751      0.01605
107.37       3.0469      0.01601
108.45       3.0391      0.01603
109.54       3.0137      0.01602
110.64       2.9987        0.016
111.76       2.9644      0.01599
112.88       2.9375      0.01595
114.01       2.9277      0.01598
115.16       2.9083      0.01589
116.32        2.886      0.01591
117.49       2.8404      0.01583
118.67       2.8312      0.01588
119.86       2.7873       0.0158
121.06       2.7955      0.01584
122.28       2.7793       0.0158
123.51       2.7502      0.01581
124.75       2.7215      0.01575
   126       2.7093      0.01575
127.27       2.6761      0.01573
128.55       2.6638       0.0157
129.84       2.6311      0.01567
131.15       2.6047      0.01561
132.46       2.5553      0.01554
 133.8       2.5838      0.01563
135.14       2.5288      0.01562
 136.5       2.5099      0.01562
137.87       2.4845      0.01554
