Literature data from W.P.Abfalterer (2001)
Natural Pb (n,tot)
MeV         cs(barns)   cs_error(barns)
49.72       4.348       0.02277     
50.22       4.388       0.02283     
50.72       4.364       0.02275     
51.23       4.354       0.02271     
51.74       4.334       0.02262     
52.26       4.361       0.02266     
52.79       4.366       0.02267     
53.32       4.376       0.02261     
53.86       4.398       0.02264     
54.4        4.413       0.02262     
54.94       4.44        0.02262     
55.5        4.453       0.02263     
56.05       4.459       0.02264     
56.62       4.491       0.02267     
57.19       4.468       0.0226      
57.76       4.479       0.02261     
58.34       4.503       0.02266     
58.93       4.541       0.0226      
59.52       4.547       0.02265     
60.12       4.555       0.02268     
60.72       4.567       0.02268     
61.33       4.553       0.02264     
61.95       4.596       0.02272     
62.57       4.629       0.02275     
63.2        4.633       0.02276     
63.84       4.661       0.02279     
64.48       4.678       0.02281     
65.13       4.688       0.02278     
65.78       4.695       0.02284     
66.44       4.699       0.02282     
67.11       4.694       0.02284     
67.78       4.72        0.02289     
68.46       4.725       0.02285     
69.15       4.732       0.02285     
69.85       4.75        0.02294     
70.55       4.776       0.02295     
71.26       4.782       0.02294     
71.97       4.793       0.02299     
72.7        4.811       0.02298     
73.43       4.804       0.02297     
74.17       4.838       0.02303     
74.91       4.829       0.02299     
75.67       4.82        0.02294     
76.43       4.804       0.02289     
77.19       4.821       0.02299     
77.97       4.84        0.02298     
78.75       4.851       0.02297     
79.54       4.83        0.02297     
80.34       4.841       0.02293     
81.15       4.849       0.02294     
81.97       4.828       0.02287     
82.79       4.82        0.02289     
83.62       4.858       0.02291     
84.46       4.843       0.02284     
85.31       4.834       0.02285     
86.17       4.837       0.02287     
87.04       4.831       0.02281     
87.91       4.814       0.02277     
88.79       4.785       0.02265     
89.69       4.778       0.02264     
90.59       4.798       0.02267     
91.5        4.772       0.02263     
92.42       4.767       0.02257     
93.35       4.768       0.02251     
94.28       4.731       0.02247     
95.23       4.72        0.02247     
96.19       4.687       0.02243     
97.16       4.682       0.02239     
98.13       4.68        0.02235     
99.12       4.676       0.02232     
100.1       4.662       0.02223     
101.1       4.641       0.02222     
102.1       4.614       0.02215     
103.2       4.605       0.02214     
104.2       4.57        0.02208     
105.2       4.55        0.02197     
106.3       4.539       0.02196     
107.4       4.53        0.02195     
108.5       4.487       0.02183     
109.5       4.472       0.02174     
110.6       4.46        0.0217      
111.8       4.411       0.02166     
112.9       4.412       0.02162     
114.        4.381       0.02155     
115.2       4.355       0.02146     
116.3       4.326       0.02137     
117.5       4.289       0.02133     
118.7       4.269       0.02129     
119.9       4.267       0.02124     
121.1       4.25        0.02118     
122.3       4.23        0.02111     
123.5       4.181       0.02105     
124.8       4.162       0.02102     
126.        4.107       0.0209      
127.3       4.058       0.02083     
128.6       4.051       0.02077     
129.8       4.033       0.02069     
131.1       4.016       0.02067     
132.5       3.973       0.02062     
133.8       3.936       0.02055     
135.1       3.893       0.02054     
136.5       3.854       0.02042     
137.9       3.837       0.02036     
139.3       3.818       0.02037     
140.7       3.813       0.02034     
142.1       3.787       0.02028     
143.5       3.768       0.02021     
144.9       3.714       0.02012     
146.4       3.689       0.02011     
147.9       3.655       0.0201      
149.4       3.649       0.02003     
150.9       3.613       0.02001     
152.4       3.59        0.01999     
153.9       3.563       0.01985     
155.5       3.527       0.01982     
157.        3.49        0.01988     
158.6       3.487       0.01981     
160.2       3.444       0.01976     
161.8       3.445       0.01976     
163.4       3.431       0.01967     
165.1       3.392       0.01968     
166.7       3.364       0.01968     
168.4       3.354       0.01961     
170.1       3.309       0.01958     
171.8       3.268       0.01958     
173.5       3.288       0.01951     
175.3       3.291       0.01957     
177.        3.278       0.0196      
178.8       3.246       0.01956     
180.6       3.218       0.01954     
182.4       3.196       0.01956     
184.3       3.175       0.0196      
186.1       3.145       0.01953     
188.        3.116       0.01951     
189.9       3.11        0.01953     
191.8       3.138       0.01952     
193.7       3.109       0.01949     
195.7       3.082       0.01953     
197.6       3.082       0.01956     
199.6       3.064       0.01951     
201.6       3.036       0.01947     
203.6       3.017       0.01954     
205.7       3.025       0.0196      
207.7       3.          0.01959     
209.8       2.968       0.01958     
211.9       2.982       0.01958     
214.1       2.951       0.01961     
216.2       2.961       0.01958     
218.4       2.961       0.01963     
