         27.84        1.331     0.002935  # 2001,W.P.Abfalterer+
         28.12        1.327     0.002917  # 2001,W.P.Abfalterer+
          28.4         1.32     0.002899  # 2001,W.P.Abfalterer+
         28.68         1.31     0.002879  # 2001,W.P.Abfalterer+
         28.97        1.309     0.002863  # 2001,W.P.Abfalterer+
         29.26        1.308     0.002846  # 2001,W.P.Abfalterer+
         29.56          1.3     0.002827  # 2001,W.P.Abfalterer+
         29.85        1.292     0.002813  # 2001,W.P.Abfalterer+
         30.15        1.283     0.002797  # 2001,W.P.Abfalterer+
         30.46        1.275     0.002779  # 2001,W.P.Abfalterer+
         30.76         1.27     0.002765  # 2001,W.P.Abfalterer+
         31.07        1.262     0.002748  # 2001,W.P.Abfalterer+
         31.38        1.255     0.002734  # 2001,W.P.Abfalterer+
          31.7        1.247     0.002717  # 2001,W.P.Abfalterer+
         32.02        1.243     0.002704  # 2001,W.P.Abfalterer+
         32.34        1.244      0.00269  # 2001,W.P.Abfalterer+
         32.67        1.237     0.002677  # 2001,W.P.Abfalterer+
         32.99        1.231     0.002661  # 2001,W.P.Abfalterer+
         33.33        1.225     0.002649  # 2001,W.P.Abfalterer+
         33.66        1.223     0.002634  # 2001,W.P.Abfalterer+
            34        1.214      0.00262  # 2001,W.P.Abfalterer+
         34.34        1.209     0.002605  # 2001,W.P.Abfalterer+
         34.69        1.203     0.002594  # 2001,W.P.Abfalterer+
         35.03        1.195     0.002577  # 2001,W.P.Abfalterer+
         35.39        1.191     0.002563  # 2001,W.P.Abfalterer+
         35.74        1.184     0.002549  # 2001,W.P.Abfalterer+
          36.1        1.181     0.002537  # 2001,W.P.Abfalterer+
         36.46        1.175     0.002525  # 2001,W.P.Abfalterer+
         36.83        1.167      0.00251  # 2001,W.P.Abfalterer+
          37.2        1.159     0.002497  # 2001,W.P.Abfalterer+
         37.57        1.155     0.002483  # 2001,W.P.Abfalterer+
         37.95        1.148     0.002471  # 2001,W.P.Abfalterer+
         38.33         1.14     0.002458  # 2001,W.P.Abfalterer+
         38.72        1.132     0.002445  # 2001,W.P.Abfalterer+
         39.11        1.127     0.002433  # 2001,W.P.Abfalterer+
          39.5        1.121      0.00242  # 2001,W.P.Abfalterer+
          39.9        1.114     0.002407  # 2001,W.P.Abfalterer+
          40.3        1.107     0.002396  # 2001,W.P.Abfalterer+
          40.7        1.098     0.002382  # 2001,W.P.Abfalterer+
         41.11        1.092     0.002366  # 2001,W.P.Abfalterer+
         41.53        1.088     0.002354  # 2001,W.P.Abfalterer+
         41.94        1.082     0.002342  # 2001,W.P.Abfalterer+
         42.36        1.071     0.002327  # 2001,W.P.Abfalterer+
         42.79        1.065     0.002319  # 2001,W.P.Abfalterer+
         43.22        1.059     0.002308  # 2001,W.P.Abfalterer+
         43.65        1.048     0.002293  # 2001,W.P.Abfalterer+
         44.09        1.042     0.002282  # 2001,W.P.Abfalterer+
         44.54        1.035     0.002272  # 2001,W.P.Abfalterer+
         44.98        1.027      0.00226  # 2001,W.P.Abfalterer+
         45.44        1.023      0.00225  # 2001,W.P.Abfalterer+
         45.89        1.014     0.002238  # 2001,W.P.Abfalterer+
         46.35        1.005     0.002229  # 2001,W.P.Abfalterer+
         46.82       0.9964     0.002219  # 2001,W.P.Abfalterer+
         47.29       0.9911     0.002207  # 2001,W.P.Abfalterer+
         47.77        0.983     0.002198  # 2001,W.P.Abfalterer+
         48.25       0.9723     0.002186  # 2001,W.P.Abfalterer+
         48.73       0.9699     0.002177  # 2001,W.P.Abfalterer+
         49.22       0.9635     0.002169  # 2001,W.P.Abfalterer+
         49.72       0.9582     0.002158  # 2001,W.P.Abfalterer+
         50.22       0.9484     0.002149  # 2001,W.P.Abfalterer+
         50.72       0.9398      0.00214  # 2001,W.P.Abfalterer+
         51.23       0.9317     0.002131  # 2001,W.P.Abfalterer+
         51.74       0.9243     0.002123  # 2001,W.P.Abfalterer+
         52.26       0.9153     0.002113  # 2001,W.P.Abfalterer+
         52.79       0.9073     0.002104  # 2001,W.P.Abfalterer+
         53.32       0.9018     0.002097  # 2001,W.P.Abfalterer+
         53.86       0.8943     0.002087  # 2001,W.P.Abfalterer+
          54.4       0.8866      0.00208  # 2001,W.P.Abfalterer+
         54.94       0.8812     0.002073  # 2001,W.P.Abfalterer+
          55.5       0.8706     0.002063  # 2001,W.P.Abfalterer+
         56.05       0.8602     0.002057  # 2001,W.P.Abfalterer+
